Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
05/23/2011,F (Jan 12),23.95,23.95,23.95,23.95,24.00,0.00,1,0,1
05/24/2011,F (Jan 12),24.05,24.28,23.95,24.25,24.25,0.25,733,0,685
05/25/2011,F (Jan 12),24.15,24.32,24.05,24.25,24.25,0.00,1547,0,2066
05/26/2011,F (Jan 12),24.14,24.25,23.80,23.90,23.90,-0.35,1352,0,3070
05/27/2011,F (Jan 12),23.75,23.75,23.50,23.60,23.60,-0.30,279,0,3310
05/31/2011,F (Jan 12),23.15,23.45,23.15,23.25,23.30,-0.30,260,0,3418
06/01/2011,F (Jan 12),23.25,23.85,23.22,23.85,23.80,0.50,526,0,3784
06/02/2011,F (Jan 12),23.75,24.00,23.65,23.84,23.85,0.05,309,0,3910
06/03/2011,F (Jan 12),24.00,24.24,23.59,24.05,24.05,0.20,414,0,4190
06/06/2011,F (Jan 12),23.80,24.25,23.79,24.23,24.25,0.20,1192,0,4980
06/07/2011,F (Jan 12),23.95,24.22,23.75,24.15,24.20,-0.05,643,0,5309
06/08/2011,F (Jan 12),24.25,24.25,23.80,24.21,24.25,0.05,333,0,5418
06/09/2011,F (Jan 12),23.90,24.00,23.60,23.85,23.90,-0.35,203,0,5532
06/10/2011,F (Jan 12),23.80,24.35,23.80,24.25,24.30,0.40,407,0,5739
06/13/2011,F (Jan 12),24.15,24.60,24.00,24.40,24.45,0.15,208,0,5829
06/14/2011,F (Jan 12),24.05,24.05,23.75,23.86,23.90,-0.55,383,0,6036
06/15/2011,F (Jan 12),24.20,24.75,23.98,24.70,24.75,0.85,1465,0,6701
06/16/2011,F (Jan 12),25.20,26.10,24.60,25.45,25.50,0.75,1109,0,7282
06/17/2011,F (Jan 12),25.10,25.51,24.80,25.20,25.25,-0.25,1981,0,8432
06/20/2011,F (Jan 12),25.45,25.50,24.70,24.85,24.85,-0.40,982,0,8813
06/21/2011,F (Jan 12),24.50,24.70,24.32,24.65,24.65,-0.20,1448,0,9583
06/22/2011,F (Jan 12),24.52,25.05,24.15,24.95,24.95,0.30,706,0,9718
06/23/2011,F (Jan 12),25.09,25.65,24.55,24.90,24.95,0.00,1509,20,10198
06/24/2011,F (Jan 12),24.76,25.36,24.65,25.36,25.40,0.45,1152,0,10703
06/27/2011,F (Jan 12),25.30,25.40,24.75,25.15,25.20,-0.20,1058,0,11360
06/28/2011,F (Jan 12),25.00,25.10,24.80,25.05,25.05,-0.15,1613,0,11378
06/29/2011,F (Jan 12),24.60,25.05,24.55,24.75,24.75,-0.30,2680,0,13258
06/30/2011,F (Jan 12),24.40,24.50,24.10,24.25,24.30,-0.45,2417,0,15359
07/01/2011,F (Jan 12),24.05,24.15,23.05,23.21,23.20,-1.10,2326,0,16175
07/05/2011,F (Jan 12),23.30,23.35,23.08,23.35,23.35,0.15,1092,0,12903
07/06/2011,F (Jan 12),23.43,23.60,23.20,23.25,23.30,-0.05,894,0,13210
07/07/2011,F (Jan 12),23.15,23.15,22.60,22.70,22.75,-0.55,1576,41,13798
07/08/2011,F (Jan 12),23.05,23.15,22.80,22.85,22.90,0.15,1803,0,14368
07/11/2011,F (Jan 12),22.90,23.80,22.90,23.50,23.55,0.65,938,88,14566
07/12/2011,F (Jan 12),23.90,24.10,23.30,24.05,24.10,0.55,1082,0,14993
07/13/2011,F (Jan 12),23.84,24.15,23.50,24.10,24.05,-0.05,867,0,15029
07/14/2011,F (Jan 12),24.00,24.69,22.80,24.30,24.35,0.30,2158,0,15814
07/15/2011,F (Jan 12),24.42,24.55,23.95,23.99,24.00,-0.35,948,0,16131
07/18/2011,F (Jan 12),24.25,24.65,24.25,24.35,24.35,0.35,1188,0,16475
07/19/2011,F (Jan 12),24.16,24.16,23.65,23.65,23.70,-0.65,1918,0,17305
07/20/2011,F (Jan 12),23.55,23.72,23.40,23.55,23.55,-0.15,1185,0,17624
07/21/2011,F (Jan 12),23.40,23.40,22.90,23.00,23.00,-0.55,1293,0,17964
07/22/2011,F (Jan 12),22.80,23.21,22.75,22.95,22.95,-0.05,1264,0,18216
07/25/2011,F (Jan 12),23.00,23.40,23.00,23.25,23.25,0.30,1193,0,18556
07/26/2011,F (Jan 12),23.20,23.60,23.15,23.30,23.35,0.10,1125,0,18520
