Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
07/01/2009,G (Feb 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/02/2009,G (Feb 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/06/2009,G (Feb 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/07/2009,G (Feb 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/08/2009,G (Feb 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/09/2009,G (Feb 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/10/2009,G (Feb 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/13/2009,G (Feb 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/14/2009,G (Feb 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/15/2009,G (Feb 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/16/2009,G (Feb 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/17/2009,G (Feb 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/20/2009,G (Feb 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/21/2009,G (Feb 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/22/2009,G (Feb 10),28.45,28.60,28.45,28.60,28.70,28.70,3,0,3
07/23/2009,G (Feb 10),28.20,28.20,27.95,28.05,28.15,-0.55,10,0,10
07/24/2009,G (Feb 10),27.95,28.10,27.95,28.05,28.10,-0.05,12,0,21
07/27/2009,G (Feb 10),28.30,28.45,28.25,28.30,28.50,0.40,12,0,32
07/28/2009,G (Feb 10),28.95,28.95,28.70,28.95,29.05,0.55,8,0,37
07/29/2009,G (Feb 10),29.40,29.40,29.00,29.20,29.25,0.20,27,0,59
07/30/2009,G (Feb 10),28.80,28.80,28.55,28.75,28.80,-0.45,26,0,82
07/31/2009,G (Feb 10),28.80,28.95,28.80,28.95,29.20,0.40,90,85,171
08/03/2009,G (Feb 10),29.00,29.00,28.85,28.85,28.90,-0.30,6,0,176
08/04/2009,G (Feb 10),28.65,28.90,28.65,28.80,28.85,-0.05,13,0,185
08/05/2009,G (Feb 10),29.15,29.15,28.80,28.80,28.90,0.05,11,0,194
08/06/2009,G (Feb 10),28.80,29.26,28.70,28.70,28.95,0.05,263,0,360
08/07/2009,G (Feb 10),28.50,28.55,28.25,28.40,28.30,-0.65,10,0,360
08/10/2009,G (Feb 10),28.45,28.45,28.40,28.40,28.45,0.15,6,0,366
08/11/2009,G (Feb 10),28.55,29.11,28.55,28.85,28.80,0.35,15,0,369
08/12/2009,G (Feb 10),28.45,28.45,28.35,28.40,28.50,-0.30,19,0,373
08/13/2009,G (Feb 10),29.15,29.15,28.55,28.70,28.60,0.10,90,59,325
