CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
05/28/2013,G (Feb 14),0.00,19.95,19.95,0.00,10.25,10.25,0,0,0
05/29/2013,G (Feb 14),18.65,20.40,18.65,20.04,20.00,-0.10,190,0,155
05/30/2013,G (Feb 14),20.25,20.25,19.96,20.05,20.05,0.05,66,0,181
05/31/2013,G (Feb 14),20.14,20.45,20.08,20.45,20.40,0.35,399,0,520
06/03/2013,G (Feb 14),20.30,20.75,20.27,20.55,20.50,0.10,686,0,1281
06/04/2013,G (Feb 14),20.53,20.75,20.50,20.75,20.60,0.10,115,0,1111
06/05/2013,G (Feb 14),20.79,20.91,20.70,20.85,20.90,0.30,299,0,1326
06/06/2013,G (Feb 14),20.82,21.20,20.70,20.75,20.75,-0.15,56,0,1240
06/07/2013,G (Feb 14),20.73,20.85,20.35,20.50,20.60,-0.15,426,0,1554
06/10/2013,G (Feb 14),20.35,20.55,20.30,20.33,20.40,-0.20,354,0,1805
06/11/2013,G (Feb 14),20.65,20.95,20.52,20.80,20.85,0.45,152,0,1751
06/12/2013,G (Feb 14),20.65,21.31,20.50,21.30,21.25,0.40,686,0,2359
06/13/2013,G (Feb 14),21.30,21.30,20.85,20.94,21.00,-0.25,300,0,2153
06/14/2013,G (Feb 14),21.02,21.75,20.85,21.40,21.50,0.50,204,0,2202
06/17/2013,G (Feb 14),21.16,21.33,21.02,21.19,21.30,-0.20,96,0,2165
06/18/2013,G (Feb 14),21.35,21.35,21.10,21.25,21.30,0.00,78,0,2174
06/19/2013,G (Feb 14),21.35,21.40,20.68,21.20,21.35,0.05,370,0,2205
06/20/2013,G (Feb 14),21.50,22.23,21.45,21.85,21.85,0.50,387,0,2284
06/21/2013,G (Feb 14),21.40,22.20,21.35,21.75,21.75,-0.10,255,0,2367
06/24/2013,G (Feb 14),22.15,22.50,22.00,22.30,22.30,0.55,293,0,2379
06/25/2013,G (Feb 14),21.95,22.37,21.85,22.35,22.30,0.00,179,0,2437
06/26/2013,G (Feb 14),22.15,22.35,22.05,22.35,22.30,0.00,77,0,2447
06/27/2013,G (Feb 14),22.15,22.20,22.00,22.03,22.05,-0.25,355,0,2555
06/28/2013,G (Feb 14),22.00,22.26,21.80,22.05,22.10,0.05,382,0,2663
07/01/2013,G (Feb 14),21.90,21.95,21.55,21.80,21.80,-0.30,176,0,2701
07/02/2013,G (Feb 14),21.70,22.00,21.59,21.95,21.95,0.15,145,0,2704
07/03/2013,G (Feb 14),21.95,22.10,21.75,21.95,21.95,0.00,240,0,2747
07/05/2013,G (Feb 14),21.70,21.85,21.50,21.50,21.50,-0.45,191,0,2739
07/08/2013,G (Feb 14),21.40,21.45,20.93,20.93,20.95,-0.55,284,0,2753
07/09/2013,G (Feb 14),20.75,20.85,20.50,20.77,20.75,-0.20,449,0,2740
07/10/2013,G (Feb 14),20.70,20.70,20.45,20.45,20.50,-0.25,397,0,2884
07/11/2013,G (Feb 14),20.25,20.31,19.95,20.25,20.25,-0.25,486,0,3053
07/12/2013,G (Feb 14),20.10,20.37,20.00,20.36,20.35,0.10,381,0,3074
07/15/2013,G (Feb 14),20.25,20.30,19.94,20.05,20.05,-0.30,207,0,3070
07/16/2013,G (Feb 14),19.99,20.50,19.90,20.45,20.45,0.40,628,0,3104
07/17/2013,G (Feb 14),20.30,20.36,20.05,20.13,20.15,-0.30,933,0,3271
07/18/2013,G (Feb 14),20.10,20.15,19.85,20.07,20.10,-0.05,1216,3,3711
07/19/2013,G (Feb 14),20.10,20.18,19.95,20.02,20.05,-0.05,1644,0,3852
07/22/2013,G (Feb 14),20.15,20.15,19.75,19.86,19.90,-0.15,1233,0,4249
07/23/2013,G (Feb 14),19.80,19.92,19.65,19.67,19.70,-0.20,1736,0,4652
07/24/2013,G (Feb 14),19.65,19.87,19.65,19.72,19.75,0.05,1957,2,4803
07/25/2013,G (Feb 14),19.84,19.90,19.49,19.51,19.55,-0.20,2127,0,5533
07/26/2013,G (Feb 14),19.60,19.78,19.40,19.46,19.50,-0.05,1607,0,5692
07/29/2013,G (Feb 14),19.50,19.65,19.40,19.43,19.45,-0.05,1618,12,6213
07/30/2013,G (Feb 14),19.40,19.47,19.18,19.22,19.25,-0.20,1826,0,6841
07/31/2013,G (Feb 14),19.23,19.26,18.80,18.87,18.90,-0.35,3227,0,7610
08/01/2013,G (Feb 14),18.65,18.74,18.55,18.68,18.70,-0.20,2270,0,8111
08/02/2013,G (Feb 14),18.65,18.67,18.40,18.42,18.45,-0.25,1302,28,8333
08/05/2013,G (Feb 14),18.40,18.41,18.23,18.27,18.30,-0.15,2121,0,8798
08/06/2013,G (Feb 14),18.30,18.65,18.20,18.57,18.60,0.30,2702,13,9399
08/07/2013,G (Feb 14),18.60,18.80,18.50,18.58,18.60,0.00,2043,0,9579
08/08/2013,G (Feb 14),18.43,18.55,18.25,18.43,18.45,-0.15,1801,0,9916
08/09/2013,G (Feb 14),18.40,18.65,18.32,18.64,18.65,0.20,1274,16,10346
08/12/2013,G (Feb 14),18.65,18.80,18.48,18.57,18.60,-0.05,1248,0,10706
08/13/2013,G (Feb 14),18.49,18.85,18.45,18.77,18.80,0.20,3095,0,11162
08/14/2013,G (Feb 14),18.75,19.00,18.65,18.98,19.00,0.20,2507,0,11699
08/15/2013,G (Feb 14),19.10,19.45,19.02,19.39,19.40,0.40,3609,47,12100
08/16/2013,G (Feb 14),19.32,19.40,18.85,19.27,19.30,-0.10,4623,0,13605
08/19/2013,G (Feb 14),19.25,19.50,19.15,19.48,19.50,0.20,2615,31,13802
08/20/2013,G (Feb 14),19.45,19.50,18.75,19.19,19.20,-0.30,3614,0,14466
08/21/2013,G (Feb 14),19.20,19.46,18.67,19.17,19.20,0.00,5343,0,14967
08/22/2013,G (Feb 14),19.05,19.05,18.60,18.62,18.65,-0.55,3459,0,15313
08/23/2013,G (Feb 14),18.58,18.70,18.45,18.54,18.55,-0.10,3714,0,15229
08/26/2013,G (Feb 14),18.54,19.00,18.25,18.89,18.90,0.35,4127,0,15244
08/27/2013,G (Feb 14),18.95,19.75,18.95,19.75,19.80,0.90,5589,77,15803
08/28/2013,G (Feb 14),19.75,19.90,19.30,19.79,19.80,0.00,4453,0,16050
08/29/2013,G (Feb 14),19.60,19.98,19.47,19.92,19.95,0.15,4242,0,16606
08/30/2013,G (Feb 14),19.82,20.20,19.78,19.96,20.00,0.05,4457,0,17244
09/03/2013,G (Feb 14),19.75,19.80,19.32,19.56,19.60,-0.40,4587,42,17086
09/04/2013,G (Feb 14),19.55,19.70,19.39,19.48,19.50,-0.10,5793,0,16998
09/05/2013,G (Feb 14),19.45,19.62,19.35,19.49,19.50,0.00,2965,0,17179
09/06/2013,G (Feb 14),19.42,20.01,19.20,19.57,19.60,0.10,5197,0,17743
09/09/2013,G (Feb 14),19.52,19.55,19.00,19.01,19.05,-0.55,4962,129,18636
09/10/2013,G (Feb 14),18.85,18.85,18.65,18.77,18.80,-0.25,3973,126,19189
09/11/2013,G (Feb 14),18.75,18.75,18.35,18.41,18.45,-0.35,5103,0,19904
09/12/2013,G (Feb 14),18.35,18.70,18.23,18.48,18.50,0.05,3559,84,19743
09/13/2013,G (Feb 14),18.45,18.65,18.25,18.45,18.50,0.00,4356,42,20822
09/16/2013,G (Feb 14),18.20,18.36,18.00,18.21,18.25,-0.25,3641,0,20731
09/17/2013,G (Feb 14),18.21,18.21,18.00,18.11,18.15,-0.10,3244,45,21504
09/18/2013,G (Feb 14),18.07,18.25,17.65,17.72,17.75,-0.40,6669,21,22357
09/19/2013,G (Feb 14),17.70,18.02,17.55,17.80,17.80,0.05,7970,41,23001
09/20/2013,G (Feb 14),17.85,18.35,17.85,18.27,18.30,0.50,14224,41,22578
09/23/2013,G (Feb 14),18.30,18.55,18.13,18.44,18.45,0.15,6126,0,23217
09/24/2013,G (Feb 14),18.43,18.46,18.10,18.32,18.35,-0.10,5527,41,23985
09/25/2013,G (Feb 14),18.36,18.50,18.20,18.30,18.35,0.00,5076,0,24435
09/26/2013,G (Feb 14),18.30,18.30,18.04,18.08,18.10,-0.25,4106,31,24717
09/27/2013,G (Feb 14),18.20,18.43,18.10,18.34,18.35,0.25,6585,0,25752
09/30/2013,G (Feb 14),18.65,18.80,18.40,18.64,18.65,0.30,8810,0,25908
10/01/2013,G (Feb 14),18.55,18.64,18.22,18.33,18.35,-0.30,8705,0,26782
10/02/2013,G (Feb 14),18.45,18.66,18.35,18.58,18.60,0.25,7184,0,25757
10/03/2013,G (Feb 14),18.58,19.09,18.55,18.80,18.85,0.25,11388,141,25901
10/04/2013,G (Feb 14),18.75,19.05,18.55,18.67,18.70,-0.15,8555,0,26481
10/07/2013,G (Feb 14),18.95,19.37,18.83,19.25,19.25,0.55,9264,51,26522
10/08/2013,G (Feb 14),19.20,19.95,19.19,19.94,19.95,0.70,17231,0,27493
10/09/2013,G (Feb 14),19.80,20.13,19.39,19.83,19.85,-0.10,16927,0,29350
10/10/2013,G (Feb 14),19.70,19.75,18.63,18.76,18.80,-1.05,13557,0,30109
10/11/2013,G (Feb 14),18.80,18.80,18.05,18.24,18.25,-0.55,12222,349,28805
10/14/2013,G (Feb 14),18.70,18.84,18.15,18.34,18.35,0.10,11330,0,27150
