Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
08/12/2009,H (Mar 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
08/13/2009,H (Mar 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
08/14/2009,H (Mar 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
08/17/2009,H (Mar 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
08/18/2009,H (Mar 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
08/19/2009,H (Mar 10),0.00,0.00,0.00,0.00,29.80,29.80,0,0,0
08/20/2009,H (Mar 10),29.45,29.45,29.10,29.10,29.25,-0.55,26,0,25
08/21/2009,H (Mar 10),28.75,28.85,28.75,28.80,28.85,-0.40,6,0,26
08/24/2009,H (Mar 10),28.75,28.90,28.75,28.80,28.85,0.00,6,0,29
08/25/2009,H (Mar 10),28.80,29.05,28.60,29.00,29.00,0.15,163,0,184
08/26/2009,H (Mar 10),29.10,29.20,28.90,29.20,29.20,0.20,58,0,242
08/27/2009,H (Mar 10),29.40,29.75,29.15,29.15,29.20,0.00,18,0,250
08/28/2009,H (Mar 10),29.15,29.25,29.15,29.25,29.25,0.05,4,0,252
08/31/2009,H (Mar 10),29.40,29.65,29.40,29.50,29.55,0.30,51,0,298
09/01/2009,H (Mar 10),29.30,30.30,29.30,30.10,30.15,0.60,29,0,319
09/02/2009,H (Mar 10),30.15,30.40,30.00,30.40,30.40,0.25,64,0,381
09/03/2009,H (Mar 10),29.90,30.11,29.85,29.85,29.65,-0.75,5,0,381
09/04/2009,H (Mar 10),0.00,0.00,0.00,0.00,29.30,-0.35,0,0,381
09/08/2009,H (Mar 10),29.05,29.05,28.90,29.00,29.05,-0.25,8,0,383
09/09/2009,H (Mar 10),29.00,29.00,28.80,28.85,28.90,-0.15,312,0,671
09/10/2009,H (Mar 10),28.90,29.20,28.60,28.68,28.65,-0.25,94,0,679
09/11/2009,H (Mar 10),28.50,28.96,28.50,28.90,28.85,0.20,285,0,773
09/14/2009,H (Mar 10),28.80,29.00,28.70,28.85,28.75,-0.10,23,0,780
09/15/2009,H (Mar 10),28.35,28.55,28.35,28.45,28.50,-0.25,14,0,785
09/16/2009,H (Mar 10),28.45,28.65,28.10,28.15,28.15,-0.35,101,0,874
09/17/2009,H (Mar 10),28.10,28.30,28.10,28.25,28.20,0.05,30,0,891
09/18/2009,H (Mar 10),28.00,28.53,28.00,28.40,28.45,0.25,29,0,895
09/21/2009,H (Mar 10),28.45,28.65,28.35,28.60,28.60,0.15,35,0,889
09/22/2009,H (Mar 10),28.45,28.60,28.45,28.60,28.60,0.00,71,0,865
09/23/2009,H (Mar 10),28.70,28.80,28.15,28.55,28.45,-0.15,85,0,856
09/24/2009,H (Mar 10),28.70,29.15,28.70,29.05,29.10,0.65,61,0,831
09/25/2009,H (Mar 10),29.25,29.30,29.20,29.25,29.20,0.10,14,0,825
09/28/2009,H (Mar 10),29.05,29.05,28.60,28.70,28.65,-0.55,38,0,828
