CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
07/01/2013,H (Mar 14),22.40,22.40,22.10,22.40,21.95,21.95,2,0,2
07/02/2013,H (Mar 14),22.00,22.30,22.00,22.30,22.30,0.35,26,0,21
07/03/2013,H (Mar 14),22.27,22.40,22.18,22.25,22.20,-0.10,25,0,33
07/05/2013,H (Mar 14),22.00,22.15,21.78,21.82,21.85,-0.35,39,0,68
07/08/2013,H (Mar 14),21.65,21.70,21.30,21.40,21.35,-0.50,11,0,73
07/09/2013,H (Mar 14),21.15,21.15,20.95,21.13,21.15,-0.20,177,0,194
07/10/2013,H (Mar 14),21.05,21.05,20.85,20.87,20.90,-0.25,8,0,192
07/11/2013,H (Mar 14),20.70,20.79,20.40,20.63,20.70,-0.20,72,0,222
07/12/2013,H (Mar 14),20.70,20.80,20.55,20.75,20.80,0.10,66,0,185
07/15/2013,H (Mar 14),20.65,20.65,20.35,20.48,20.50,-0.30,17,0,190
07/16/2013,H (Mar 14),20.40,20.85,20.38,20.82,20.85,0.35,93,0,170
07/17/2013,H (Mar 14),20.70,20.71,20.50,20.50,20.50,-0.35,67,0,188
07/18/2013,H (Mar 14),20.45,20.55,20.25,20.48,20.50,0.00,109,0,234
07/19/2013,H (Mar 14),20.50,20.55,20.40,20.40,20.40,-0.10,251,0,378
07/22/2013,H (Mar 14),20.65,20.65,20.15,20.24,20.25,-0.15,412,0,791
07/23/2013,H (Mar 14),20.20,20.30,20.04,20.06,20.10,-0.15,159,0,631
07/24/2013,H (Mar 14),20.05,20.25,20.00,20.03,20.05,-0.05,366,0,725
07/25/2013,H (Mar 14),20.10,20.25,19.85,19.85,19.90,-0.15,866,0,1112
07/26/2013,H (Mar 14),19.95,20.11,19.78,19.78,19.80,-0.10,187,0,1155
07/29/2013,H (Mar 14),19.90,19.97,19.80,19.80,19.80,0.00,224,0,1204
07/30/2013,H (Mar 14),19.70,19.83,19.57,19.60,19.65,-0.15,379,0,1339
07/31/2013,H (Mar 14),19.60,19.61,19.25,19.25,19.30,-0.35,377,0,1335
08/01/2013,H (Mar 14),19.10,19.16,18.98,19.05,19.05,-0.25,342,0,1473
08/02/2013,H (Mar 14),19.05,19.10,18.85,18.85,18.90,-0.15,288,0,1532
08/05/2013,H (Mar 14),18.90,18.90,18.60,18.63,18.65,-0.25,1085,0,2244
08/06/2013,H (Mar 14),18.70,19.00,18.62,18.95,18.95,0.30,678,0,2267
08/07/2013,H (Mar 14),19.02,19.12,18.90,18.90,18.95,0.00,327,0,2401
08/08/2013,H (Mar 14),18.75,18.90,18.64,18.80,18.80,-0.15,183,0,2483
08/09/2013,H (Mar 14),18.80,18.99,18.70,18.99,19.00,0.20,241,0,2551
08/12/2013,H (Mar 14),19.05,19.15,18.88,19.00,18.95,-0.05,367,0,2619
08/13/2013,H (Mar 14),18.87,19.17,18.85,19.17,19.15,0.20,1597,0,3339
08/14/2013,H (Mar 14),19.13,19.35,19.02,19.35,19.35,0.20,1032,0,3720
08/15/2013,H (Mar 14),19.51,19.80,19.38,19.75,19.75,0.40,914,0,3990
08/16/2013,H (Mar 14),19.65,19.72,19.25,19.63,19.65,-0.10,938,0,4066
08/19/2013,H (Mar 14),19.62,19.85,19.55,19.85,19.85,0.20,420,0,4090
08/20/2013,H (Mar 14),19.80,19.85,19.10,19.55,19.55,-0.30,782,0,4339
08/21/2013,H (Mar 14),19.60,19.85,19.05,19.57,19.60,0.05,2185,0,5044
08/22/2013,H (Mar 14),19.42,19.45,18.95,19.07,19.10,-0.50,1751,0,5584
08/23/2013,H (Mar 14),19.00,19.10,18.88,19.02,19.05,-0.05,1371,0,5982
08/26/2013,H (Mar 14),18.96,19.43,18.70,19.34,19.35,0.30,1804,0,6244
08/27/2013,H (Mar 14),19.40,20.15,19.40,20.15,20.15,0.80,3241,19,6504
08/28/2013,H (Mar 14),20.10,20.28,19.70,20.23,20.25,0.10,2574,0,6643
08/29/2013,H (Mar 14),20.00,20.35,19.86,20.33,20.35,0.10,1738,0,6350
08/30/2013,H (Mar 14),20.22,20.60,20.15,20.43,20.45,0.10,2848,0,6778
09/03/2013,H (Mar 14),20.20,20.20,19.69,19.97,20.00,-0.45,2764,20,7073
09/04/2013,H (Mar 14),19.95,20.07,19.79,19.87,19.90,-0.10,3602,0,7949
09/05/2013,H (Mar 14),19.80,20.00,19.76,19.88,19.90,0.00,1669,0,8399
09/06/2013,H (Mar 14),19.75,20.33,19.60,19.97,20.00,0.10,2809,0,8782
09/09/2013,H (Mar 14),19.91,19.92,19.45,19.47,19.50,-0.50,2351,83,9595
09/10/2013,H (Mar 14),19.30,19.30,19.10,19.19,19.20,-0.30,2248,87,10071
09/11/2013,H (Mar 14),19.20,19.20,18.81,18.92,18.95,-0.25,2676,0,10836
09/12/2013,H (Mar 14),18.82,19.15,18.70,18.98,19.00,0.05,2146,70,11027
09/13/2013,H (Mar 14),18.95,19.12,18.74,18.95,19.00,0.00,2264,37,11552
09/16/2013,H (Mar 14),18.65,18.85,18.50,18.77,18.80,-0.20,2604,0,12198
09/17/2013,H (Mar 14),18.70,18.70,18.45,18.63,18.65,-0.15,2925,42,13201
09/18/2013,H (Mar 14),18.55,18.75,18.18,18.22,18.25,-0.40,2883,21,13523
09/19/2013,H (Mar 14),18.15,18.49,18.05,18.25,18.25,0.00,5136,41,12499
09/20/2013,H (Mar 14),18.28,18.81,18.28,18.79,18.80,0.55,6730,41,12614
09/23/2013,H (Mar 14),18.80,19.00,18.63,18.92,18.95,0.15,4737,0,13818
09/24/2013,H (Mar 14),18.94,18.95,18.65,18.82,18.85,-0.10,4562,41,14855
09/25/2013,H (Mar 14),18.90,19.00,18.70,18.86,18.90,0.05,4733,0,15880
09/26/2013,H (Mar 14),18.85,18.85,18.60,18.62,18.65,-0.25,3841,31,17030
09/27/2013,H (Mar 14),18.74,18.90,18.64,18.78,18.80,0.15,3811,0,17247
09/30/2013,H (Mar 14),19.10,19.25,18.85,19.09,19.10,0.30,4740,0,17211
10/01/2013,H (Mar 14),19.00,19.05,18.68,18.79,18.80,-0.30,5768,0,17998
10/02/2013,H (Mar 14),18.95,19.10,18.80,19.03,19.05,0.25,4333,0,17789
10/03/2013,H (Mar 14),19.03,19.47,18.95,19.20,19.25,0.20,7703,141,17928
10/04/2013,H (Mar 14),19.15,19.43,18.95,19.07,19.10,-0.15,6018,0,18352
10/07/2013,H (Mar 14),19.35,19.65,19.20,19.52,19.55,0.45,6561,51,18604
