Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
09/10/2009,J (Apr 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
09/11/2009,J (Apr 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
09/14/2009,J (Apr 10),0.00,0.00,0.00,0.00,28.75,28.75,0,0,0
09/15/2009,J (Apr 10),0.00,0.00,0.00,0.00,28.35,-0.40,0,0,0
09/16/2009,J (Apr 10),28.35,28.50,28.35,28.35,28.40,0.05,8,0,6
09/17/2009,J (Apr 10),28.15,28.25,28.10,28.20,28.25,-0.15,9,0,6
09/18/2009,J (Apr 10),28.30,28.55,28.30,28.55,28.45,0.20,11,0,11
09/21/2009,J (Apr 10),28.45,28.70,28.45,28.70,28.70,0.25,15,0,16
09/22/2009,J (Apr 10),28.65,28.90,28.65,28.85,28.90,0.20,33,0,47
09/23/2009,J (Apr 10),28.85,29.00,28.45,28.55,28.65,-0.25,29,0,73
09/24/2009,J (Apr 10),28.90,29.30,28.90,29.30,29.35,0.70,26,0,78
09/25/2009,J (Apr 10),29.40,29.60,29.40,29.50,29.50,0.15,6,0,80
09/28/2009,J (Apr 10),30.21,30.21,28.95,28.95,28.95,-0.55,11,0,85
09/29/2009,J (Apr 10),28.95,29.00,28.90,28.90,28.95,0.00,5,0,90
09/30/2009,J (Apr 10),29.15,29.20,29.00,29.00,29.05,0.10,17,0,96
10/01/2009,J (Apr 10),29.25,29.85,29.25,29.85,29.70,0.65,10,0,94
10/02/2009,J (Apr 10),29.85,29.85,29.40,29.45,29.55,-0.15,15,0,97
10/05/2009,J (Apr 10),29.45,29.45,29.20,29.25,29.25,-0.30,19,0,99
10/06/2009,J (Apr 10),28.90,28.90,28.55,28.60,28.75,-0.50,34,0,130
10/07/2009,J (Apr 10),28.70,28.75,28.65,28.75,28.80,0.05,268,0,275
10/08/2009,J (Apr 10),28.55,28.60,28.35,28.35,28.35,-0.45,14,0,275
10/09/2009,J (Apr 10),28.50,28.60,28.10,28.15,28.15,-0.20,13,0,276
10/12/2009,J (Apr 10),28.00,28.00,27.75,27.90,27.85,-0.30,7,0,276
10/13/2009,J (Apr 10),28.05,28.20,27.85,27.85,27.85,0.00,25,0,276
10/14/2009,J (Apr 10),27.65,27.85,27.65,27.85,27.90,0.05,4,0,276
10/15/2009,J (Apr 10),27.85,27.85,27.40,27.40,27.55,-0.35,25,0,277
10/16/2009,J (Apr 10),27.60,27.65,27.50,27.65,27.65,0.10,6,0,276
10/19/2009,J (Apr 10),28.30,28.30,27.10,27.60,27.45,-0.20,49,0,277
10/20/2009,J (Apr 10),27.25,27.50,27.25,27.30,27.30,-0.15,26,0,277
10/21/2009,J (Apr 10),27.20,27.25,27.00,27.15,27.20,-0.10,16,0,280
10/22/2009,J (Apr 10),27.20,27.35,26.60,26.75,26.70,-0.50,53,0,298
10/23/2009,J (Apr 10),26.65,27.25,26.60,27.05,27.10,0.40,59,0,296
10/26/2009,J (Apr 10),27.05,27.65,26.90,27.60,27.55,0.45,62,0,315
10/27/2009,J (Apr 10),27.75,27.75,27.55,27.55,27.55,0.00,55,0,340
10/28/2009,J (Apr 10),27.55,28.05,27.55,28.00,27.95,0.40,24,0,345
10/29/2009,J (Apr 10),27.80,27.80,27.30,27.30,27.35,-0.60,41,0,345
10/30/2009,J (Apr 10),27.55,28.60,27.55,28.35,28.40,1.05,100,0,361
11/02/2009,J (Apr 10),28.20,28.30,27.70,28.25,28.25,-0.15,59,0,375
11/03/2009,J (Apr 10),28.70,28.70,28.30,28.40,28.45,0.20,40,0,390
11/04/2009,J (Apr 10),27.65,28.20,27.65,28.10,28.15,-0.30,46,0,416
11/05/2009,J (Apr 10),28.00,28.00,27.80,27.85,27.80,-0.35,89,0,479
11/06/2009,J (Apr 10),27.80,27.85,27.55,27.65,27.65,-0.15,80,0,518
11/09/2009,J (Apr 10),27.55,27.55,27.05,27.10,27.10,-0.55,150,0,652
11/10/2009,J (Apr 10),27.05,27.40,27.00,27.35,27.40,0.30,117,0,742
11/11/2009,J (Apr 10),27.25,27.70,27.05,27.70,27.75,0.35,140,0,849
11/12/2009,J (Apr 10),27.55,28.35,27.55,28.10,28.20,0.45,155,0,936
11/13/2009,J (Apr 10),28.40,28.40,27.90,28.10,28.10,-0.10,202,0,1067
11/16/2009,J (Apr 10),27.75,27.90,27.70,27.80,27.90,-0.20,54,0,1069
