Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
09/10/2009,K (May 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
09/11/2009,K (May 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
09/14/2009,K (May 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
09/15/2009,K (May 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
09/16/2009,K (May 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
09/17/2009,K (May 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
09/18/2009,K (May 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
09/21/2009,K (May 10),0.00,0.00,0.00,0.00,28.70,28.70,0,0,0
09/22/2009,K (May 10),0.00,0.00,0.00,0.00,28.50,-0.20,0,0,0
09/23/2009,K (May 10),0.00,0.00,0.00,0.00,28.60,0.10,0,0,0
09/24/2009,K (May 10),0.00,0.00,0.00,0.00,28.65,0.05,0,0,0
09/25/2009,K (May 10),29.05,29.05,29.05,29.05,29.40,0.75,1,0,1
09/28/2009,K (May 10),29.86,29.86,29.86,29.86,28.70,-0.70,1,0,2
09/29/2009,K (May 10),0.00,0.00,0.00,0.00,28.45,-0.25,0,0,2
09/30/2009,K (May 10),0.00,0.00,0.00,0.00,28.95,0.50,0,0,2
10/01/2009,K (May 10),29.02,29.02,29.02,29.02,29.60,0.65,1,0,3
10/02/2009,K (May 10),0.00,0.00,0.00,0.00,29.20,-0.40,0,0,3
10/05/2009,K (May 10),0.00,0.00,0.00,0.00,28.80,-0.40,0,0,3
10/06/2009,K (May 10),28.50,28.50,28.45,28.45,28.40,-0.40,3,0,5
10/07/2009,K (May 10),28.40,28.50,28.40,28.50,28.55,0.15,6,0,10
10/08/2009,K (May 10),28.15,28.30,28.15,28.30,28.40,-0.15,2,0,11
10/09/2009,K (May 10),28.55,28.55,28.00,28.00,28.10,-0.30,7,0,10
10/12/2009,K (May 10),0.00,0.00,0.00,0.00,27.65,-0.45,0,0,10
10/13/2009,K (May 10),0.00,0.00,0.00,0.00,27.80,0.15,0,0,10
10/14/2009,K (May 10),0.00,0.00,0.00,0.00,27.55,-0.25,0,0,10
10/15/2009,K (May 10),27.20,27.25,27.20,27.25,27.20,-0.35,2,0,10
10/16/2009,K (May 10),27.45,27.45,27.45,27.45,27.35,0.15,2,0,11
10/19/2009,K (May 10),27.30,27.30,27.30,27.30,27.25,-0.10,1,0,11
10/20/2009,K (May 10),27.20,27.30,27.15,27.15,27.25,0.00,5,0,13
10/21/2009,K (May 10),27.05,27.05,26.75,27.00,27.05,-0.20,103,0,81
10/22/2009,K (May 10),27.20,27.20,26.45,26.45,26.55,-0.50,130,0,190
10/23/2009,K (May 10),26.60,27.00,26.45,26.85,26.85,0.30,43,0,191
10/26/2009,K (May 10),26.80,27.40,26.75,27.30,27.25,0.40,49,0,209
10/27/2009,K (May 10),26.40,27.45,26.40,27.40,27.35,0.10,61,0,265
10/28/2009,K (May 10),27.32,27.80,27.32,27.65,27.75,0.40,18,0,270
10/29/2009,K (May 10),27.40,27.40,27.00,27.05,27.10,-0.65,36,0,270
10/30/2009,K (May 10),27.35,28.15,27.30,28.00,28.15,1.05,228,0,473
11/02/2009,K (May 10),27.90,28.00,27.40,28.00,27.95,-0.20,42,0,494
11/03/2009,K (May 10),28.60,28.60,28.00,28.10,28.10,0.15,25,0,501
11/04/2009,K (May 10),27.80,27.85,27.50,27.85,27.80,-0.30,21,0,506
11/05/2009,K (May 10),27.65,27.70,27.45,27.45,27.50,-0.30,26,0,497
11/06/2009,K (May 10),27.60,27.60,27.35,27.40,27.45,-0.05,37,0,492
11/09/2009,K (May 10),28.35,28.35,26.70,26.85,26.95,-0.50,34,0,492
11/10/2009,K (May 10),26.85,27.25,26.80,27.10,27.15,0.20,61,0,499
11/11/2009,K (May 10),27.05,27.45,26.90,27.45,27.45,0.30,58,0,506
11/12/2009,K (May 10),27.70,28.05,27.65,27.85,27.90,0.45,75,0,550
11/13/2009,K (May 10),27.75,28.10,27.70,27.80,27.85,-0.05,122,0,619
11/16/2009,K (May 10),27.40,27.70,27.40,27.55,27.60,-0.25,44,0,634
11/17/2009,K (May 10),27.20,27.85,27.20,27.75,27.75,0.15,77,0,655
11/18/2009,K (May 10),27.75,27.95,27.55,27.80,27.85,0.10,83,0,704
11/19/2009,K (May 10),28.25,28.43,27.95,27.95,28.00,0.15,207,0,782
11/20/2009,K (May 10),28.70,28.70,28.00,28.00,28.05,0.05,107,0,846
11/23/2009,K (May 10),27.75,27.75,27.50,27.65,27.70,-0.35,30,0,847
11/24/2009,K (May 10),27.60,27.65,27.50,27.60,27.60,-0.10,27,0,846
11/25/2009,K (May 10),27.45,27.56,27.36,27.45,27.50,-0.10,18,0,853
11/27/2009,K (May 10),28.44,28.44,28.05,28.25,28.35,0.85,29,0,849
11/30/2009,K (May 10),28.35,28.55,28.30,28.50,28.50,0.15,135,0,909
12/01/2009,K (May 10),27.90,28.00,27.90,27.95,27.95,-0.55,55,0,942
12/02/2009,K (May 10),27.95,28.05,27.83,27.95,28.00,0.05,70,0,966
12/03/2009,K (May 10),27.80,28.00,27.60,28.00,27.95,-0.05,87,0,1002
12/04/2009,K (May 10),27.65,28.15,27.60,27.90,27.90,-0.05,69,0,1011
12/07/2009,K (May 10),27.85,27.95,27.80,27.85,27.90,0.00,71,0,1024
12/08/2009,K (May 10),28.25,28.60,28.10,28.47,28.50,0.60,49,0,1024
12/09/2009,K (May 10),28.60,28.80,28.45,28.45,28.45,-0.05,84,0,1049
12/10/2009,K (May 10),28.40,28.46,28.30,28.30,28.35,-0.10,86,0,1072
12/11/2009,K (May 10),28.42,28.45,28.30,28.30,28.25,-0.10,47,0,1089
12/14/2009,K (May 10),28.20,28.21,28.10,28.15,28.15,-0.10,91,0,1130
12/15/2009,K (May 10),28.38,28.38,27.80,27.85,27.85,-0.30,242,0,1280
12/16/2009,K (May 10),27.55,27.73,27.40,27.55,27.55,-0.30,322,0,1437
12/17/2009,K (May 10),27.75,27.90,27.70,27.87,27.85,0.30,44,0,1450
12/18/2009,K (May 10),27.80,27.80,27.45,27.50,27.50,-0.35,74,0,1487
12/21/2009,K (May 10),27.35,27.35,26.60,26.60,26.65,-0.85,82,0,1515
12/22/2009,K (May 10),26.60,26.60,26.15,26.20,26.20,-0.45,58,0,1540
12/23/2009,K (May 10),26.05,26.05,25.85,26.00,26.00,-0.20,94,0,1598
12/24/2009,K (May 10),25.80,25.95,25.70,25.85,25.85,-0.15,47,0,1617
12/28/2009,K (May 10),25.80,25.85,25.65,25.70,25.75,-0.10,17,0,1639
12/29/2009,K (May 10),25.60,25.65,25.50,25.60,25.60,-0.15,138,0,1738
12/30/2009,K (May 10),25.70,25.95,25.70,25.90,25.90,0.30,26,0,1685
12/31/2009,K (May 10),25.95,26.40,25.95,26.35,26.35,0.45,77,0,1685
01/04/2010,K (May 10),25.80,25.90,25.70,25.70,25.75,-0.60,160,0,1762
01/05/2010,K (May 10),25.55,25.70,23.80,25.45,25.50,-0.25,138,0,1804
01/06/2010,K (May 10),25.40,25.40,25.00,25.05,25.05,-0.45,286,0,2062
01/07/2010,K (May 10),25.05,25.15,24.80,24.80,24.85,-0.20,35,0,2013
01/08/2010,K (May 10),24.80,24.80,24.60,24.65,24.65,-0.20,159,0,2117
01/11/2010,K (May 10),24.10,24.55,24.10,24.30,24.30,-0.35,64,0,2132
01/12/2010,K (May 10),24.55,24.80,24.35,24.45,24.45,0.15,209,0,2214
01/13/2010,K (May 10),24.45,24.60,24.30,24.40,24.40,-0.05,299,0,2273
01/14/2010,K (May 10),24.35,24.35,23.90,23.95,23.95,-0.45,192,0,2387
01/15/2010,K (May 10),23.95,24.65,23.95,24.30,24.30,0.35,189,0,2422
01/19/2010,K (May 10),24.15,24.20,23.70,23.75,23.80,-0.50,251,0,2494
01/20/2010,K (May 10),23.85,24.21,23.75,23.75,23.80,0.00,411,0,2720
01/21/2010,K (May 10),23.82,24.65,23.70,24.40,24.50,0.70,624,0,2995
01/22/2010,K (May 10),24.65,25.50,24.50,25.35,25.40,0.90,836,0,3221
01/25/2010,K (May 10),24.94,25.15,24.94,25.03,25.05,-0.35,387,0,3159
01/26/2010,K (May 10),25.20,25.40,24.85,25.40,25.40,0.35,319,0,3005
01/27/2010,K (May 10),25.40,25.65,25.05,25.08,25.10,-0.30,296,0,3034
01/28/2010,K (May 10),25.05,25.40,24.85,25.10,25.15,0.05,259,0,3142
01/29/2010,K (May 10),24.95,25.55,24.85,25.50,25.50,0.35,267,0,3150
02/01/2010,K (May 10),25.30,25.30,24.90,25.05,25.05,-0.45,167,0,3208
02/02/2010,K (May 10),24.95,24.95,24.58,24.70,24.65,-0.40,165,0,3217
02/03/2010,K (May 10),24.80,24.80,24.45,24.80,24.80,0.15,64,0,3106
02/04/2010,K (May 10),25.05,26.00,25.05,26.00,26.05,1.25,676,0,3357
02/05/2010,K (May 10),26.00,26.80,25.60,26.25,26.20,0.15,450,0,3340
02/08/2010,K (May 10),25.95,26.35,25.95,26.15,26.20,0.00,253,30,3305
02/09/2010,K (May 10),25.85,26.35,25.50,26.10,26.05,-0.15,791,0,3322
02/10/2010,K (May 10),26.14,26.55,25.95,26.10,26.15,0.10,209,0,3400
02/11/2010,K (May 10),26.05,26.45,25.75,25.80,25.80,-0.35,368,0,3592
02/12/2010,K (May 10),26.25,26.35,25.85,25.95,26.00,0.20,657,0,3793
02/16/2010,K (May 10),25.47,25.65,25.10,25.17,25.15,-0.85,479,0,3795
02/17/2010,K (May 10),25.00,25.10,24.73,24.74,24.85,-0.30,403,0,3859
02/18/2010,K (May 10),25.03,25.10,24.38,24.50,24.50,-0.35,716,0,3859
02/19/2010,K (May 10),24.80,24.80,24.00,24.05,24.10,-0.40,252,0,3897
02/22/2010,K (May 10),24.00,24.10,23.70,23.70,23.75,-0.35,337,0,3915
02/23/2010,K (May 10),23.90,24.56,23.70,24.30,24.25,0.50,845,0,4106
02/24/2010,K (May 10),24.20,24.25,23.70,23.90,23.90,-0.35,714,0,4202
02/25/2010,K (May 10),24.40,24.51,23.90,23.95,23.95,0.05,480,0,4161
02/26/2010,K (May 10),23.87,24.00,23.70,23.85,23.80,-0.15,676,0,4230
03/01/2010,K (May 10),23.55,23.70,23.50,23.58,23.65,-0.15,397,0,4015
03/02/2010,K (May 10),23.50,23.55,23.25,23.45,23.45,-0.20,543,0,4060
03/03/2010,K (May 10),23.30,23.36,23.15,23.25,23.25,-0.20,702,0,4193
03/04/2010,K (May 10),23.25,23.40,23.05,23.25,23.25,0.00,519,0,4178
