Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
06/20/2007,M (Jun 08),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
06/21/2007,M (Jun 08),15.83,15.93,15.83,15.93,15.81,15.81,30,0,30
06/22/2007,M (Jun 08),16.03,16.14,16.03,16.14,16.05,0.24,13,0,43
06/25/2007,M (Jun 08),16.09,16.09,16.09,16.09,16.07,0.02,3,0,46
06/26/2007,M (Jun 08),16.36,16.36,16.36,16.36,16.38,0.31,1,0,47
06/27/2007,M (Jun 08),16.22,16.22,16.22,16.22,16.15,-0.23,1,0,48
06/28/2007,M (Jun 08),0.00,0.00,0.00,0.00,16.10,-0.05,0,0,46
06/29/2007,M (Jun 08),16.31,16.39,16.31,16.39,16.37,0.27,14,0,58
07/02/2007,M (Jun 08),0.00,0.00,0.00,0.00,16.26,-0.11,0,0,58
07/03/2007,M (Jun 08),16.20,16.20,16.20,16.20,16.28,0.02,15,0,73
07/05/2007,M (Jun 08),0.00,0.00,0.00,0.00,16.37,0.09,0,0,73
07/06/2007,M (Jun 08),0.00,0.00,0.00,0.00,16.36,-0.01,0,0,73
07/09/2007,M (Jun 08),0.00,0.00,0.00,0.00,16.44,0.08,0,0,73
07/10/2007,M (Jun 08),16.59,16.74,16.59,16.74,16.71,0.27,40,0,100
07/11/2007,M (Jun 08),16.84,16.85,16.80,16.85,16.81,0.10,15,0,115
07/12/2007,M (Jun 08),0.00,0.00,0.00,0.00,16.77,-0.04,0,0,115
07/13/2007,M (Jun 08),16.89,17.40,16.89,17.40,17.17,0.40,79,0,194
07/16/2007,M (Jun 08),17.29,17.33,17.29,17.33,17.34,0.17,30,0,214
07/17/2007,M (Jun 08),17.44,17.63,17.44,17.63,17.59,0.25,75,0,252
07/18/2007,M (Jun 08),17.70,18.17,17.70,18.05,17.97,0.38,95,0,347
07/19/2007,M (Jun 08),17.94,18.11,17.84,18.11,18.07,0.10,80,0,412
07/20/2007,M (Jun 08),18.35,18.59,18.35,18.59,18.57,0.50,85,0,477
07/23/2007,M (Jun 08),18.40,18.40,18.40,18.40,18.43,-0.14,3,0,467
07/24/2007,M (Jun 08),18.57,19.96,18.57,19.26,19.31,0.88,270,0,727
07/25/2007,M (Jun 08),0.00,0.00,0.00,0.00,19.02,-0.29,0,0,697
07/26/2007,M (Jun 08),19.25,20.32,19.25,20.32,20.19,1.17,250,0,932
07/27/2007,M (Jun 08),19.97,19.97,19.14,19.56,19.60,-0.59,415,0,1183
07/30/2007,M (Jun 08),19.56,19.56,19.56,19.56,19.29,-0.31,1,0,1063
07/31/2007,M (Jun 08),19.25,21.50,19.25,21.50,20.60,1.31,65,0,1102
08/01/2007,M (Jun 08),20.85,21.20,20.60,21.20,20.69,0.09,106,0,1172
08/02/2007,M (Jun 08),20.38,20.65,19.82,19.82,20.41,-0.28,37,0,1193
08/03/2007,M (Jun 08),20.97,20.97,20.97,20.97,21.45,1.04,5,0,1170
08/06/2007,M (Jun 08),22.27,22.27,21.00,21.40,21.20,-0.25,34,0,1202
08/07/2007,M (Jun 08),21.51,21.51,20.38,20.38,20.47,-0.73,286,0,1433
08/08/2007,M (Jun 08),20.18,20.18,19.80,20.00,20.10,-0.37,147,0,1375
08/09/2007,M (Jun 08),21.58,22.01,21.58,22.01,22.33,2.23,35,0,1328
08/10/2007,M (Jun 08),0.00,0.00,0.00,0.00,22.90,0.57,0,0,1318
08/13/2007,M (Jun 08),21.95,21.95,21.95,21.95,22.03,-0.87,1,0,1279
08/14/2007,M (Jun 08),0.00,0.00,0.00,0.00,22.37,0.34,0,0,1278
08/15/2007,M (Jun 08),0.00,0.00,0.00,0.00,22.48,0.11,0,0,1278
08/16/2007,M (Jun 08),23.25,23.25,22.76,22.76,22.43,-0.05,125,0,1394
08/17/2007,M (Jun 08),0.00,0.00,0.00,0.00,22.71,0.28,0,0,1369
08/20/2007,M (Jun 08),22.00,22.00,22.00,22.00,22.15,-0.56,100,0,1469
08/21/2007,M (Jun 08),0.00,0.00,0.00,0.00,22.04,-0.11,0,0,1369
08/22/2007,M (Jun 08),21.43,21.43,21.15,21.15,21.09,-0.95,110,0,1479
08/23/2007,M (Jun 08),21.15,21.40,21.15,21.40,21.24,0.15,70,0,1445
08/24/2007,M (Jun 08),20.89,21.03,20.41,20.41,20.60,-0.64,137,0,1562
08/27/2007,M (Jun 08),20.94,21.10,20.94,21.10,20.85,0.25,100,0,1576
08/28/2007,M (Jun 08),21.00,21.50,21.00,21.50,21.52,0.67,22,0,1596
08/29/2007,M (Jun 08),21.50,21.50,21.36,21.36,21.34,-0.18,31,0,1626
08/30/2007,M (Jun 08),0.00,0.00,0.00,0.00,21.64,0.30,0,0,1597
08/31/2007,M (Jun 08),21.58,21.60,21.58,21.60,21.70,0.06,14,0,1597
09/04/2007,M (Jun 08),21.22,21.22,21.11,21.11,21.07,-0.63,50,0,1607
09/05/2007,M (Jun 08),0.00,0.00,0.00,0.00,21.78,0.71,0,0,1597
09/06/2007,M (Jun 08),0.00,0.00,0.00,0.00,21.31,-0.47,0,0,1597
09/07/2007,M (Jun 08),0.00,0.00,0.00,0.00,21.59,0.28,0,0,1597
09/10/2007,M (Jun 08),21.77,21.94,21.77,21.80,21.81,0.22,43,0,1630
09/11/2007,M (Jun 08),21.88,21.88,21.50,21.50,21.41,-0.40,90,0,1697
09/12/2007,M (Jun 08),21.41,21.41,21.41,21.41,21.59,0.18,50,0,1637
09/13/2007,M (Jun 08),21.36,21.36,21.15,21.15,21.36,-0.23,90,0,1667
09/14/2007,M (Jun 08),21.53,21.53,21.25,21.25,21.35,-0.01,69,0,1728
09/17/2007,M (Jun 08),21.43,21.56,21.33,21.56,21.47,0.12,70,0,1750
09/18/2007,M (Jun 08),21.70,21.70,20.54,20.54,20.67,-0.80,58,0,1758
09/19/2007,M (Jun 08),20.67,20.67,20.00,20.20,20.14,-0.53,685,0,2293
09/20/2007,M (Jun 08),20.16,20.20,20.13,20.20,20.20,0.06,303,0,2537
09/21/2007,M (Jun 08),20.25,20.30,19.60,19.66,19.58,-0.62,272,0,2774
09/24/2007,M (Jun 08),19.50,19.56,19.50,19.56,19.49,-0.09,366,0,2914
09/25/2007,M (Jun 08),19.75,19.75,19.50,19.52,19.47,-0.02,338,0,3066
09/26/2007,M (Jun 08),19.35,19.35,19.17,19.17,19.30,-0.17,120,0,3165
09/27/2007,M (Jun 08),19.25,19.30,19.21,19.25,19.28,-0.02,93,0,3196
09/28/2007,M (Jun 08),19.35,19.62,19.35,19.60,19.50,0.22,140,0,3261
10/01/2007,M (Jun 08),19.30,19.45,19.21,19.40,19.46,-0.04,356,0,3406
10/02/2007,M (Jun 08),19.65,19.65,19.65,19.65,19.56,0.10,40,0,3395
10/03/2007,M (Jun 08),19.71,19.80,19.71,19.80,19.80,0.24,12,0,3402
10/04/2007,M (Jun 08),19.96,19.96,19.96,19.96,19.88,0.08,5,0,3407
10/05/2007,M (Jun 08),19.45,19.45,19.45,19.45,19.48,-0.40,11,0,3408
10/08/2007,M (Jun 08),19.55,19.55,19.55,19.55,19.52,0.04,10,0,3418
10/09/2007,M (Jun 08),19.22,19.22,19.10,19.10,19.23,-0.29,100,0,3485
