Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
07/18/2008,N (Jul 09),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/21/2008,N (Jul 09),0.00,0.00,0.00,0.00,23.87,23.87,0,0,0
07/22/2008,N (Jul 09),0.00,0.00,0.00,0.00,0.00,-23.87,0,0,0
09/19/2008,N (Jul 09),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
09/22/2008,N (Jul 09),0.00,0.00,0.00,0.00,25.00,25.00,0,0,0
09/23/2008,N (Jul 09),0.00,0.00,0.00,0.00,24.95,-0.05,0,0,0
09/24/2008,N (Jul 09),0.00,0.00,0.00,0.00,24.88,-0.07,0,0,0
09/25/2008,N (Jul 09),0.00,0.00,0.00,0.00,24.72,-0.16,0,0,0
09/26/2008,N (Jul 09),0.00,0.00,0.00,0.00,24.93,0.21,0,0,0
09/29/2008,N (Jul 09),0.00,0.00,0.00,0.00,27.22,2.29,0,0,0
09/30/2008,N (Jul 09),27.55,27.55,26.10,26.10,26.18,-1.04,12,0,10
10/01/2008,N (Jul 09),26.25,26.35,26.25,26.35,26.36,0.18,4,0,10
10/02/2008,N (Jul 09),0.00,0.00,0.00,0.00,26.87,0.51,0,0,10
10/03/2008,N (Jul 09),0.00,0.00,0.00,0.00,27.18,0.31,0,0,10
10/06/2008,N (Jul 09),27.50,27.50,27.50,27.50,27.60,0.42,1,0,10
10/07/2008,N (Jul 09),27.95,28.10,27.95,28.10,23.46,-4.14,3,0,10
10/08/2008,N (Jul 09),27.30,27.40,27.28,27.28,26.85,3.39,10,0,20
10/09/2008,N (Jul 09),0.00,0.00,0.00,0.00,28.81,1.96,0,0,20
10/10/2008,N (Jul 09),0.00,0.00,0.00,0.00,28.25,-0.56,0,0,20
10/13/2008,N (Jul 09),0.00,0.00,0.00,0.00,27.07,-1.18,0,0,20
10/14/2008,N (Jul 09),0.00,0.00,0.00,0.00,27.09,0.02,0,0,20
10/15/2008,N (Jul 09),0.00,0.00,0.00,0.00,28.05,0.96,0,0,20
10/16/2008,N (Jul 09),0.00,0.00,0.00,0.00,28.13,0.08,0,0,20
10/17/2008,N (Jul 09),0.00,0.00,0.00,0.00,29.61,1.48,0,0,20
10/20/2008,N (Jul 09),25.90,33.11,25.90,28.10,28.53,-1.08,16,0,30
10/21/2008,N (Jul 09),0.00,0.00,0.00,0.00,29.18,0.65,0,0,30
10/22/2008,N (Jul 09),31.50,31.50,31.50,31.50,32.24,3.06,5,0,35
10/23/2008,N (Jul 09),0.00,0.00,0.00,0.00,32.69,0.45,0,0,35
10/24/2008,N (Jul 09),35.49,38.82,35.49,38.82,37.21,4.52,41,0,75
10/27/2008,N (Jul 09),0.00,0.00,0.00,0.00,36.51,-0.70,0,0,75
10/28/2008,N (Jul 09),35.26,35.26,35.00,35.00,34.41,-2.10,25,0,75
10/29/2008,N (Jul 09),0.00,0.00,0.00,0.00,34.51,0.10,0,0,75
10/30/2008,N (Jul 09),35.00,35.20,35.00,35.20,34.22,-0.29,5,0,80
10/31/2008,N (Jul 09),0.00,0.00,0.00,0.00,34.70,0.48,0,0,80
11/03/2008,N (Jul 09),0.00,0.00,0.00,0.00,35.40,0.70,0,0,80
11/04/2008,N (Jul 09),0.00,0.00,0.00,0.00,33.83,-1.57,0,0,80
11/05/2008,N (Jul 09),35.10,35.10,35.10,35.10,34.73,0.90,2,0,80
11/06/2008,N (Jul 09),37.90,37.90,37.90,37.90,37.78,3.05,1,0,80
11/07/2008,N (Jul 09),0.00,0.00,0.00,0.00,36.23,-1.55,0,0,80
11/10/2008,N (Jul 09),39.51,39.51,39.51,39.51,36.28,0.05,1,0,80
11/11/2008,N (Jul 09),0.00,0.00,0.00,0.00,36.58,0.30,0,0,80
11/12/2008,N (Jul 09),0.00,0.00,0.00,0.00,36.39,-0.19,0,0,80
11/13/2008,N (Jul 09),0.00,0.00,0.00,0.00,37.22,0.83,0,0,80
11/14/2008,N (Jul 09),0.00,0.00,0.00,0.00,37.34,0.12,0,0,80
11/17/2008,N (Jul 09),38.00,38.00,38.00,38.00,38.97,1.63,1,0,80
11/18/2008,N (Jul 09),0.00,0.00,0.00,0.00,38.72,-0.25,0,0,80
11/19/2008,N (Jul 09),39.00,39.80,39.00,39.80,41.15,2.43,3,0,80
11/20/2008,N (Jul 09),41.35,43.82,41.35,43.60,41.95,0.80,12,0,85
11/21/2008,N (Jul 09),39.25,43.20,39.25,43.00,42.34,0.39,8,0,85
11/24/2008,N (Jul 09),40.70,40.70,40.70,40.70,40.64,-1.70,1,0,85
11/25/2008,N (Jul 09),40.99,41.00,39.85,39.85,39.52,-1.12,5,0,85
11/26/2008,N (Jul 09),38.75,39.36,38.75,39.21,39.42,-0.10,16,0,92
11/28/2008,N (Jul 09),0.00,0.00,0.00,0.00,39.60,0.18,0,0,87
12/01/2008,N (Jul 09),0.00,0.00,0.00,0.00,42.83,3.23,0,0,87
12/02/2008,N (Jul 09),41.40,43.22,40.48,43.22,42.18,-0.65,5,0,87
12/03/2008,N (Jul 09),41.02,41.02,41.02,41.02,41.49,-0.69,1,0,88
12/04/2008,N (Jul 09),0.00,0.00,0.00,0.00,42.61,1.12,0,0,88
12/05/2008,N (Jul 09),0.00,0.00,0.00,0.00,42.92,0.31,0,0,88
12/08/2008,N (Jul 09),42.79,44.08,42.79,43.50,43.74,0.82,29,0,91
12/09/2008,N (Jul 09),43.04,44.00,43.04,44.00,44.43,0.69,23,0,105
12/10/2008,N (Jul 09),42.90,42.90,42.90,42.90,44.45,0.02,1,0,105
12/11/2008,N (Jul 09),43.52,43.52,43.02,43.02,43.88,-0.57,3,0,105
12/12/2008,N (Jul 09),43.99,43.99,43.99,43.99,43.77,-0.11,1,0,105
12/15/2008,N (Jul 09),43.14,43.15,43.14,43.15,43.70,-0.07,3,0,108
12/16/2008,N (Jul 09),42.00,42.00,42.00,42.00,41.91,-1.79,8,0,116
12/17/2008,N (Jul 09),42.00,42.00,41.01,42.00,40.48,-1.43,3,0,115
12/18/2008,N (Jul 09),40.20,40.20,40.20,40.20,40.00,-0.48,1,0,115
12/19/2008,N (Jul 09),0.00,0.00,0.00,0.00,39.17,-0.83,0,0,115
12/22/2008,N (Jul 09),39.40,39.40,39.40,39.40,39.45,0.28,1,0,115
12/23/2008,N (Jul 09),38.95,38.95,38.95,38.95,40.51,1.06,1,0,116
12/24/2008,N (Jul 09),0.00,0.00,0.00,0.00,39.95,-0.56,0,0,116
12/26/2008,N (Jul 09),40.24,40.24,39.75,40.10,40.02,0.07,4,0,115
12/29/2008,N (Jul 09),39.85,39.85,39.85,39.85,40.18,0.16,1,0,115
12/30/2008,N (Jul 09),0.00,0.00,0.00,0.00,39.36,-0.82,0,0,115
12/31/2008,N (Jul 09),40.01,40.01,40.01,40.01,38.29,-1.07,1,0,116
01/02/2009,N (Jul 09),0.00,0.00,0.00,0.00,36.36,-1.93,0,0,116
