CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
10/27/2014,N (Jul 15),0.00,0.00,0.00,0.00,18.80,18.80,0,0,0
10/28/2014,N (Jul 15),18.87,18.90,18.65,18.70,18.55,-0.25,10,0,7
10/29/2014,N (Jul 15),18.72,18.75,18.72,18.72,18.65,0.10,1,0,8
10/30/2014,N (Jul 15),0.00,18.75,18.85,0.00,18.65,0.00,0,0,8
10/31/2014,N (Jul 15),18.80,18.80,18.55,18.70,18.75,0.10,12,0,20
11/03/2014,N (Jul 15),18.87,19.08,18.77,18.98,18.95,0.20,58,0,76
11/04/2014,N (Jul 15),19.05,19.30,19.00,19.15,19.05,0.10,15,0,89
11/05/2014,N (Jul 15),18.95,19.03,18.80,18.95,18.85,-0.20,40,0,124
11/06/2014,N (Jul 15),18.85,18.97,18.60,18.60,18.60,-0.25,68,0,180
11/07/2014,N (Jul 15),18.75,18.75,18.55,18.61,18.65,0.05,33,0,209
11/10/2014,N (Jul 15),18.55,18.65,18.33,18.33,18.35,-0.30,49,0,248
11/11/2014,N (Jul 15),18.25,18.41,18.20,18.20,18.15,-0.20,26,0,267
11/12/2014,N (Jul 15),18.30,18.45,18.20,18.30,18.35,0.20,21,0,275
11/13/2014,N (Jul 15),18.35,18.90,18.30,18.61,18.65,0.30,144,0,377
11/14/2014,N (Jul 15),19.25,19.25,18.45,18.50,18.50,-0.15,201,0,434
11/17/2014,N (Jul 15),18.60,18.65,18.40,18.43,18.50,0.00,109,0,520
11/18/2014,N (Jul 15),18.40,18.56,18.30,18.50,18.60,0.10,139,0,517
11/19/2014,N (Jul 15),18.55,18.75,18.45,18.75,18.75,0.15,428,0,913
11/20/2014,N (Jul 15),18.70,18.90,18.60,18.65,18.65,-0.10,584,0,1212
11/21/2014,N (Jul 15),18.62,18.66,18.38,18.57,18.60,-0.05,925,0,2051
11/24/2014,N (Jul 15),18.55,18.65,18.45,18.60,18.60,0.00,403,0,2001
11/25/2014,N (Jul 15),18.57,18.78,18.50,18.68,18.70,0.10,419,0,1932
11/26/2014,N (Jul 15),18.68,18.76,18.60,18.60,18.60,-0.10,525,0,2276
11/28/2014,N (Jul 15),18.58,18.76,18.57,18.65,18.70,0.10,87,0,2116
12/01/2014,N (Jul 15),18.75,19.06,18.73,19.06,19.05,0.35,962,0,2308
