Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
10/22/2008,Q (Aug 09),0,0,0,0,0,0,0,0,0
10/23/2008,Q (Aug 09),0,0,0,0,27.1,27.1,0,0,0
10/24/2008,Q (Aug 09),0,0,0,0,26.94,-0.16,0,0,0
10/27/2008,Q (Aug 09),0,0,0,0,34.55,7.61,0,0,0
10/28/2008,Q (Aug 09),0,0,0,0,37.04,2.49,0,0,0
10/29/2008,Q (Aug 09),0,0,0,0,32.16,-4.88,0,0,0
10/30/2008,Q (Aug 09),0,0,0,0,18.14,-14.02,0,0,0
10/31/2008,Q (Aug 09),0,0,0,0,35,16.86,0,0,0
11/3/2008,Q (Aug 09),0,0,0,0,35,0,0,0,0
11/4/2008,Q (Aug 09),0,0,0,0,30.04,-4.96,0,0,0
11/5/2008,Q (Aug 09),0,0,0,0,30.68,0.64,0,0,0
11/6/2008,Q (Aug 09),0,0,0,0,35,4.32,0,0,0
11/7/2008,Q (Aug 09),0,0,0,0,36,1,0,0,0
11/10/2008,Q (Aug 09),0,0,0,0,36,0,0,0,0
11/11/2008,Q (Aug 09),0,0,0,0,37.01,1.01,0,0,0
11/12/2008,Q (Aug 09),0,0,0,0,34.82,-2.19,0,0,0
11/13/2008,Q (Aug 09),0,0,0,0,34.82,0,0,0,0
11/14/2008,Q (Aug 09),0,0,0,0,34.82,0,0,0,0
11/17/2008,Q (Aug 09),0,0,0,0,34.82,0,0,0,0
11/18/2008,Q (Aug 09),0,0,0,0,34.82,0,0,0,0
11/19/2008,Q (Aug 09),0,0,0,0,38.18,3.36,0,0,0
11/20/2008,Q (Aug 09),0,0,0,0,38.18,0,0,0,0
11/21/2008,Q (Aug 09),0,0,0,0,34.81,-3.37,0,0,0
11/24/2008,Q (Aug 09),0,0,0,0,41.91,7.1,0,0,0
11/25/2008,Q (Aug 09),0,0,0,0,36.36,-5.55,0,0,0
11/26/2008,Q (Aug 09),0,0,0,0,35.61,-0.75,0,0,0
11/28/2008,Q (Aug 09),0,0,0,0,42.77,7.16,0,0,0
12/1/2008,Q (Aug 09),0,0,0,0,38.25,-4.52,0,0,0
12/2/2008,Q (Aug 09),0,0,0,0,44.94,6.69,0,0,0
12/3/2008,Q (Aug 09),0,0,0,0,41.25,-3.69,0,0,0
12/4/2008,Q (Aug 09),0,0,0,0,44.13,2.88,0,0,0
12/5/2008,Q (Aug 09),0,0,0,0,38.75,-5.38,0,0,0
12/8/2008,Q (Aug 09),0,0,0,0,42.25,3.5,0,0,0
12/9/2008,Q (Aug 09),0,0,0,0,43.88,1.63,0,0,0
12/10/2008,Q (Aug 09),0,0,0,0,38.75,-5.13,0,0,0
12/11/2008,Q (Aug 09),0,0,0,0,43.88,0,0,0,0
12/12/2008,Q (Aug 09),0,0,0,0,43.88,0,0,0,0
12/15/2008,Q (Aug 09),0,0,0,0,43.88,0,0,0,0
12/16/2008,Q (Aug 09),0,0,0,0,43.88,0,0,0,0
