CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
11/24/2014,Q (Aug 15),0.00,0.00,18.95,0.00,18.95,18.95,0,0,0
11/25/2014,Q (Aug 15),18.90,18.95,18.88,18.88,18.95,0.00,64,0,63
11/26/2014,Q (Aug 15),18.85,18.91,18.85,18.91,18.90,-0.05,23,0,86
11/28/2014,Q (Aug 15),18.95,18.95,18.87,18.91,18.60,-0.30,8,0,91
12/01/2014,Q (Aug 15),19.00,19.27,19.00,19.27,19.30,0.70,128,0,196
12/02/2014,Q (Aug 15),19.35,19.35,18.65,18.96,18.60,-0.70,85,0,278
12/03/2014,Q (Aug 15),18.64,18.70,18.55,18.65,18.70,0.10,19,0,284
12/04/2014,Q (Aug 15),18.75,18.86,18.60,18.65,18.55,-0.15,655,0,824
12/05/2014,Q (Aug 15),18.55,18.60,18.40,18.54,18.55,0.00,67,0,873
12/08/2014,Q (Aug 15),18.70,18.98,18.60,18.92,19.00,0.45,119,0,906
12/09/2014,Q (Aug 15),19.20,19.33,18.84,18.88,18.95,-0.05,49,0,939
12/10/2014,Q (Aug 15),19.08,19.71,19.00,19.71,19.75,0.80,86,0,1001
12/11/2014,Q (Aug 15),19.50,20.42,19.20,20.42,20.45,0.70,146,0,1114
12/12/2014,Q (Aug 15),20.07,20.70,20.07,20.70,20.50,0.05,488,0,1497
12/15/2014,Q (Aug 15),20.44,20.55,19.79,20.40,20.45,-0.05,863,0,2303
12/16/2014,Q (Aug 15),20.30,20.95,19.80,20.90,20.95,0.50,270,0,2220
12/17/2014,Q (Aug 15),20.70,20.90,19.48,19.54,19.65,-1.30,577,0,2590
12/18/2014,Q (Aug 15),19.53,19.72,19.15,19.19,19.15,-0.50,636,0,2479
12/19/2014,Q (Aug 15),19.10,19.20,18.82,18.82,18.85,-0.30,377,0,2674
12/22/2014,Q (Aug 15),18.90,18.95,18.65,18.80,18.8000,-0.05,138,0,2653
12/23/2014,Q (Aug 15),18.73,19.00,18.66,19.00,18.9000,0.10,122,0,2674
