Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
11/21/2008,U (Sep 09),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
11/24/2008,U (Sep 09),0.00,0.00,0.00,0.00,36.15,36.15,0,0,0
11/25/2008,U (Sep 09),0.00,0.00,0.00,0.00,38.23,2.08,0,0,0
11/26/2008,U (Sep 09),0.00,0.00,0.00,0.00,38.00,-0.23,0,0,0
11/28/2008,U (Sep 09),0.00,0.00,0.00,0.00,40.34,2.34,0,0,0
12/01/2008,U (Sep 09),0.00,0.00,0.00,0.00,42.36,2.02,0,0,0
12/02/2008,U (Sep 09),0.00,0.00,0.00,0.00,42.28,-0.08,0,0,0
12/03/2008,U (Sep 09),40.03,40.03,40.03,40.03,40.35,-1.93,1,0,1
12/04/2008,U (Sep 09),40.00,40.00,40.00,40.00,40.89,0.54,1,0,2
12/05/2008,U (Sep 09),0.00,0.00,0.00,0.00,42.53,1.64,0,0,2
12/08/2008,U (Sep 09),39.50,39.50,39.50,39.50,42.45,-0.08,1,0,3
12/09/2008,U (Sep 09),41.96,43.00,41.96,43.00,42.90,0.45,2,0,5
12/10/2008,U (Sep 09),0.00,0.00,0.00,0.00,42.46,-0.44,0,0,5
12/11/2008,U (Sep 09),41.83,41.83,41.25,41.25,42.91,0.45,3,0,8
12/12/2008,U (Sep 09),0.00,0.00,0.00,0.00,43.70,0.79,0,0,8
12/15/2008,U (Sep 09),0.00,0.00,0.00,0.00,41.16,-2.54,0,0,8
12/16/2008,U (Sep 09),0.00,0.00,0.00,0.00,37.69,-3.47,0,0,8
12/17/2008,U (Sep 09),0.00,0.00,0.00,0.00,38.68,0.99,0,0,8
12/18/2008,U (Sep 09),0.00,0.00,0.00,0.00,39.38,0.70,0,0,8
12/19/2008,U (Sep 09),37.90,37.90,37.90,37.90,38.27,-1.11,1,0,9
12/22/2008,U (Sep 09),0.00,0.00,0.00,0.00,36.73,-1.54,0,0,9
12/23/2008,U (Sep 09),37.60,38.40,37.60,38.40,39.38,2.65,3,0,11
12/24/2008,U (Sep 09),0.00,0.00,0.00,0.00,37.96,-1.42,0,0,11
12/26/2008,U (Sep 09),45.51,45.51,45.51,45.51,37.67,-0.29,1,0,12
12/29/2008,U (Sep 09),37.80,38.40,37.80,38.40,38.53,0.86,2,0,14
12/30/2008,U (Sep 09),0.00,0.00,0.00,0.00,37.66,-0.87,0,0,13
12/31/2008,U (Sep 09),0.00,0.00,0.00,0.00,37.42,-0.24,0,0,13
01/02/2009,U (Sep 09),0.00,0.00,0.00,0.00,35.35,-2.07,0,0,13
01/05/2009,U (Sep 09),0.00,0.00,0.00,0.00,35.06,-0.29,0,0,13
01/06/2009,U (Sep 09),0.00,0.00,0.00,0.00,34.87,-0.19,0,0,13
01/07/2009,U (Sep 09),0.00,0.00,0.00,0.00,35.57,0.70,0,0,13
01/08/2009,U (Sep 09),0.00,0.00,0.00,0.00,36.64,1.07,0,0,13
01/09/2009,U (Sep 09),0.00,0.00,0.00,0.00,36.17,-0.47,0,0,13
01/12/2009,U (Sep 09),0.00,0.00,0.00,0.00,35.89,-0.28,0,0,13
01/13/2009,U (Sep 09),0.00,0.00,0.00,0.00,37.43,1.54,0,0,13
01/14/2009,U (Sep 09),40.10,40.11,40.10,40.11,38.11,0.68,2,0,12
01/15/2009,U (Sep 09),0.00,0.00,0.00,0.00,38.42,0.31,0,0,12
01/16/2009,U (Sep 09),0.00,0.00,0.00,0.00,38.29,-0.13,0,0,12
01/20/2009,U (Sep 09),0.00,0.00,0.00,0.00,40.45,2.16,0,0,12
01/21/2009,U (Sep 09),0.00,0.00,0.00,0.00,39.47,-0.98,0,0,12
01/22/2009,U (Sep 09),38.55,38.55,38.55,38.55,39.20,-0.27,1,0,11
01/23/2009,U (Sep 09),0.00,0.00,0.00,0.00,38.28,-0.92,0,0,11
01/26/2009,U (Sep 09),37.50,37.50,37.50,37.50,37.64,-0.64,1,0,12
01/27/2009,U (Sep 09),37.05,37.05,36.75,36.75,37.08,-0.56,4,0,13
01/28/2009,U (Sep 09),36.83,36.86,36.24,36.50,36.52,-0.56,18,0,23
01/29/2009,U (Sep 09),35.60,36.40,35.47,35.96,35.71,-0.81,85,0,73
01/30/2009,U (Sep 09),36.12,36.86,36.12,36.86,36.92,1.21,220,0,278
02/02/2009,U (Sep 09),37.25,37.35,37.25,37.35,37.40,0.48,5,0,280
02/03/2009,U (Sep 09),36.50,37.00,36.50,37.00,37.05,-0.35,15,0,281
02/04/2009,U (Sep 09),36.80,36.85,36.65,36.75,36.75,-0.30,8,0,284
02/05/2009,U (Sep 09),37.30,37.30,37.00,37.00,37.00,0.25,19,0,273
02/06/2009,U (Sep 09),36.70,36.70,36.20,36.20,36.25,-0.75,7,0,265
02/09/2009,U (Sep 09),36.50,36.63,36.50,36.55,36.55,0.30,7,0,266
02/10/2009,U (Sep 09),36.90,37.10,36.90,37.05,37.05,0.50,6,0,259
02/11/2009,U (Sep 09),36.90,36.90,36.90,36.90,36.80,-0.25,3,0,257
02/12/2009,U (Sep 09),36.95,37.10,36.90,36.90,36.95,0.15,7,0,258
02/13/2009,U (Sep 09),36.40,36.40,36.25,36.35,36.45,-0.50,4,0,256
02/17/2009,U (Sep 09),37.10,37.30,37.02,37.30,37.35,0.90,11,0,263
02/18/2009,U (Sep 09),36.95,37.20,36.95,37.20,37.20,-0.15,11,0,258
02/19/2009,U (Sep 09),35.45,37.25,35.45,37.20,37.80,0.60,24,0,265
02/20/2009,U (Sep 09),38.15,38.35,37.75,38.10,38.15,0.35,34,0,279
02/23/2009,U (Sep 09),37.45,38.60,37.45,38.60,38.60,0.45,18,0,271
02/24/2009,U (Sep 09),37.90,38.50,37.80,37.80,37.90,-0.70,30,0,264
02/25/2009,U (Sep 09),37.75,38.15,37.75,37.95,37.95,0.05,19,0,262
02/26/2009,U (Sep 09),37.50,38.70,37.50,38.70,38.75,0.80,32,0,274
02/27/2009,U (Sep 09),38.70,39.30,38.39,38.75,38.80,0.05,32,0,282
03/02/2009,U (Sep 09),39.45,39.90,39.36,39.85,39.55,0.75,23,0,278
03/03/2009,U (Sep 09),39.20,39.45,39.00,39.35,39.65,0.10,25,0,279
03/04/2009,U (Sep 09),38.75,38.75,37.55,37.55,37.65,-2.00,21,0,279
03/05/2009,U (Sep 09),37.90,38.45,37.80,38.14,37.95,0.30,12,0,285
03/06/2009,U (Sep 09),38.00,38.45,38.00,38.45,38.25,0.30,13,0,283
03/09/2009,U (Sep 09),38.08,38.08,37.70,38.05,38.10,-0.15,19,0,280
03/10/2009,U (Sep 09),36.90,37.00,36.20,36.20,36.55,-1.55,36,0,284
03/11/2009,U (Sep 09),35.80,35.85,35.60,35.60,35.80,-0.75,10,0,287
03/12/2009,U (Sep 09),35.70,35.70,35.30,35.40,35.50,-0.30,11,0,289
03/13/2009,U (Sep 09),35.60,35.85,35.55,35.75,35.85,0.35,10,0,290
03/16/2009,U (Sep 09),35.60,36.20,35.60,36.20,36.15,0.30,15,0,286
03/17/2009,U (Sep 09),36.20,36.20,35.80,35.80,36.05,-0.10,13,0,287
03/18/2009,U (Sep 09),36.05,36.25,35.65,36.25,36.15,0.10,17,0,287
03/19/2009,U (Sep 09),36.30,37.50,36.30,37.50,37.50,1.35,28,0,297
03/20/2009,U (Sep 09),38.15,39.50,37.95,39.05,39.05,1.55,31,0,304
03/23/2009,U (Sep 09),39.00,39.00,37.60,37.75,37.70,-1.35,377,0,304
03/24/2009,U (Sep 09),38.10,38.20,37.61,38.00,38.00,0.30,500,466,741
03/25/2009,U (Sep 09),37.65,37.90,37.59,37.90,37.95,-0.05,12,0,743
03/26/2009,U (Sep 09),37.88,37.88,37.35,37.60,37.55,-0.40,13,0,747
03/27/2009,U (Sep 09),37.85,38.45,37.85,38.45,38.55,1.00,8,0,744
03/30/2009,U (Sep 09),39.71,40.10,39.70,39.85,39.80,1.25,23,0,756
03/31/2009,U (Sep 09),39.85,39.85,39.45,39.55,39.55,-0.25,474,469,755
04/01/2009,U (Sep 09),39.65,39.65,38.70,39.15,39.10,-0.45,30,0,643
04/02/2009,U (Sep 09),38.85,39.45,38.80,39.25,39.45,0.35,44,0,651
04/03/2009,U (Sep 09),39.50,39.50,39.50,39.50,39.15,-0.30,1,0,616
04/06/2009,U (Sep 09),39.60,39.60,39.40,39.50,39.55,0.40,11,0,619
04/07/2009,U (Sep 09),39.75,39.75,39.40,39.75,39.75,0.20,35,0,641
04/08/2009,U (Sep 09),39.60,39.65,39.50,39.60,39.70,-0.05,483,472,1036
04/09/2009,U (Sep 09),38.80,39.10,38.60,38.75,38.75,-0.95,807,775,1570
04/13/2009,U (Sep 09),38.65,38.85,38.50,38.80,38.75,0.00,40,0,1478
04/14/2009,U (Sep 09),39.00,39.10,38.75,38.80,38.85,0.10,24,0,1482
04/15/2009,U (Sep 09),38.75,38.95,38.45,38.45,38.50,-0.35,61,0,1483
04/16/2009,U (Sep 09),37.75,38.35,37.25,37.45,37.50,-1.00,131,0,1489
04/17/2009,U (Sep 09),37.50,37.50,36.80,36.80,36.80,-0.70,64,0,1519
04/20/2009,U (Sep 09),37.29,38.15,37.27,38.15,38.05,1.25,34,0,1515
04/21/2009,U (Sep 09),38.51,38.51,37.25,37.30,37.30,-0.75,38,0,1521
04/22/2009,U (Sep 09),36.80,37.70,36.60,37.70,37.70,0.40,25,0,1503
04/23/2009,U (Sep 09),37.85,38.20,37.25,37.25,37.15,-0.55,19,0,1497
04/24/2009,U (Sep 09),37.00,37.50,37.00,37.45,37.45,0.30,40,0,1498
04/27/2009,U (Sep 09),37.85,38.20,37.65,38.15,38.20,0.75,30,0,1504
04/28/2009,U (Sep 09),38.30,38.30,37.65,37.90,37.80,-0.40,68,0,1514
04/29/2009,U (Sep 09),37.35,37.35,36.35,36.80,36.85,-0.95,51,0,1502
04/30/2009,U (Sep 09),36.30,37.00,36.15,36.85,36.90,0.05,26,0,1483
05/01/2009,U (Sep 09),36.85,36.88,36.25,36.25,36.25,-0.65,16,0,1482
05/04/2009,U (Sep 09),35.80,35.90,34.80,34.95,34.90,-1.35,732,0,1459
05/05/2009,U (Sep 09),34.90,35.53,34.90,35.10,35.05,0.15,105,0,1398
05/06/2009,U (Sep 09),34.45,34.90,33.95,34.05,34.05,-1.00,603,0,1707
05/07/2009,U (Sep 09),33.80,34.50,33.80,34.30,34.35,0.30,112,0,1676
05/08/2009,U (Sep 09),33.80,34.00,33.00,33.35,33.40,-0.95,236,0,1837
05/11/2009,U (Sep 09),34.35,34.50,33.35,33.45,33.40,0.00,199,0,1909
05/12/2009,U (Sep 09),33.50,34.00,33.50,33.55,33.40,0.00,115,0,1939
05/13/2009,U (Sep 09),34.20,34.30,33.85,34.00,34.00,0.60,143,0,1888
05/14/2009,U (Sep 09),33.65,33.80,32.85,32.85,32.85,-1.15,267,0,2088
05/15/2009,U (Sep 09),32.85,33.30,32.25,33.25,33.40,0.55,145,0,2125
05/18/2009,U (Sep 09),32.60,32.70,30.90,31.05,31.15,-2.25,218,0,2214
05/19/2009,U (Sep 09),31.45,31.45,31.00,31.25,31.20,0.05,193,0,2317
05/20/2009,U (Sep 09),30.80,31.50,30.20,31.50,31.55,0.35,162,0,2359
05/21/2009,U (Sep 09),32.00,32.80,31.65,32.33,32.30,0.75,523,0,2432
05/22/2009,U (Sep 09),32.23,32.70,32.10,32.45,32.40,0.10,228,0,2476
05/26/2009,U (Sep 09),32.80,32.80,31.10,31.50,31.55,-0.85,183,0,2515
05/27/2009,U (Sep 09),31.60,32.10,31.15,32.05,32.05,0.50,160,0,2563
05/28/2009,U (Sep 09),31.95,32.20,31.56,31.95,31.90,-0.15,214,0,2695
05/29/2009,U (Sep 09),31.80,32.00,31.30,31.55,31.55,-0.35,156,76,2802
06/01/2009,U (Sep 09),31.27,31.27,30.70,30.85,30.75,-0.80,89,0,2836
06/02/2009,U (Sep 09),30.60,31.15,30.45,30.95,30.95,0.20,118,0,2856
06/03/2009,U (Sep 09),31.05,32.40,31.05,32.05,32.10,1.15,340,0,3119
06/04/2009,U (Sep 09),32.00,32.20,31.70,31.80,31.85,-0.25,80,0,3109
06/05/2009,U (Sep 09),31.40,32.51,31.40,31.85,31.85,0.00,123,0,2957
06/08/2009,U (Sep 09),32.15,32.65,31.65,31.75,31.75,-0.10,51,0,2752
06/09/2009,U (Sep 09),31.30,31.90,30.85,31.15,31.15,-0.60,183,0,2748
06/10/2009,U (Sep 09),30.90,32.20,30.90,31.35,31.45,0.30,430,0,2742
06/11/2009,U (Sep 09),30.95,31.10,30.70,30.85,30.90,-0.55,108,0,2810
06/12/2009,U (Sep 09),31.05,31.25,30.30,30.45,30.45,-0.45,258,0,2980
