CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
12/22/2014,U (Sep 15),0.00,18.95,19.25,0.00,19.3000,19.30,0,0,0
12/23/2014,U (Sep 15),19.10,19.20,19.09,19.09,19.1500,-0.15,2,0,1
12/24/2014,U (Sep 15),19.25,19.25,19.15,19.25,19.2250,0.08,2,0,2
12/26/2014,U (Sep 15),19.25,19.30,19.20,19.30,19.5000,0.28,3,0,5
12/29/2014,U (Sep 15),0.00,19.10,19.25,0.00,19.1750,-0.32,0,0,5
12/30/2014,U (Sep 15),19.35,19.45,19.35,19.43,19.3250,0.15,7,0,11
12/31/2014,U (Sep 15),19.45,20.00,19.40,20.00,19.9250,0.60,13,0,15
01/02/2015,U (Sep 15),19.65,20.30,19.65,20.11,20.1000,0.18,6,0,18
01/05/2015,U (Sep 15),20.35,20.80,20.20,20.65,20.6750,0.58,9,0,21
01/06/2015,U (Sep 15),20.60,20.95,20.40,20.66,20.7500,0.08,419,0,636
01/07/2015,U (Sep 15),20.40,20.55,20.15,20.16,20.1500,-0.60,49,0,369
01/08/2015,U (Sep 15),20.25,20.25,19.55,19.55,19.5500,-0.60,268,0,767
01/09/2015,U (Sep 15),19.55,20.05,19.50,20.05,20.0750,0.52,256,0,824
01/12/2015,U (Sep 15),20.00,20.46,19.95,20.33,20.3250,0.25,236,0,1034
01/13/2015,U (Sep 15),20.10,20.65,19.90,20.50,20.4500,0.12,404,0,1286
01/14/2015,U (Sep 15),20.37,20.75,20.37,20.50,20.4250,-0.02,125,0,1155
01/15/2015,U (Sep 15),20.23,20.76,20.20,20.65,20.7250,0.30,157,0,1270
01/16/2015,U (Sep 15),20.80,21.00,20.45,20.50,20.5750,-0.15,64,0,1266
01/20/2015,U (Sep 15),20.60,20.90,20.30,20.65,20.6500,0.08,366,0,1431
01/21/2015,U (Sep 15),20.65,20.85,20.05,20.06,20.0250,-0.62,280,0,1724
01/22/2015,U (Sep 15),20.05,20.30,19.65,19.65,19.6250,-0.40,394,0,1775
01/23/2015,U (Sep 15),19.60,19.98,19.58,19.98,19.9500,0.32,224,0,1900
01/26/2015,U (Sep 15),20.10,20.20,19.55,19.55,19.5750,-0.38,295,0,2061
01/27/2015,U (Sep 15),19.55,20.05,19.50,19.79,19.7750,0.20,320,0,2171
01/28/2015,U (Sep 15),19.70,21.05,19.65,21.00,21.0750,1.30,406,0,2315
01/29/2015,U (Sep 15),20.75,20.95,20.10,20.10,20.1250,-0.95,588,0,2646
01/30/2015,U (Sep 15),20.20,21.06,20.15,20.80,20.8250,0.70,627,0,2652
02/02/2015,U (Sep 15),20.70,21.12,20.40,20.49,20.4750,-0.35,477,0,2889
02/03/2015,U (Sep 15),20.45,20.60,20.20,20.29,20.2750,-0.20,327,0,2980
02/04/2015,U (Sep 15),20.25,20.65,20.15,20.65,20.6750,0.40,549,0,3334
02/05/2015,U (Sep 15),20.50,20.76,20.14,20.25,20.2750,-0.40,146,0,3264
02/06/2015,U (Sep 15),20.30,20.80,19.95,20.45,20.4500,0.18,1170,0,3591
02/09/2015,U (Sep 15),20.80,20.88,20.60,20.75,20.7500,0.30,241,0,3658
02/10/2015,U (Sep 15),20.70,20.71,20.30,20.30,20.3500,-0.40,578,0,4113
