Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
02/14/2011,V (Oct 11),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
02/15/2011,V (Oct 11),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
02/16/2011,V (Oct 11),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
02/17/2011,V (Oct 11),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
02/18/2011,V (Oct 11),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
02/22/2011,V (Oct 11),23.50,23.55,23.40,23.55,24.00,24.00,16,0,16
02/23/2011,V (Oct 11),24.00,24.55,24.00,24.50,24.55,0.55,213,0,148
02/24/2011,V (Oct 11),24.50,25.10,24.28,24.55,24.55,0.00,128,0,240
02/25/2011,V (Oct 11),24.23,24.25,24.00,24.02,24.00,-0.55,170,0,327
02/28/2011,V (Oct 11),23.75,23.89,23.60,23.75,23.75,-0.25,294,0,479
03/01/2011,V (Oct 11),23.69,24.45,23.69,24.45,24.45,0.70,463,0,821
03/02/2011,V (Oct 11),24.47,24.60,24.20,24.45,24.45,0.00,253,0,947
03/03/2011,V (Oct 11),23.94,23.98,23.78,23.87,23.85,-0.60,87,0,981
03/04/2011,V (Oct 11),23.78,24.55,23.70,24.15,24.20,0.35,207,0,1085
03/07/2011,V (Oct 11),23.95,24.75,23.87,24.67,24.65,0.45,456,0,1360
03/08/2011,V (Oct 11),24.55,24.87,24.40,24.64,24.60,-0.05,392,0,1583
03/09/2011,V (Oct 11),24.65,24.98,24.60,24.79,24.80,0.20,739,0,2110
03/10/2011,V (Oct 11),24.90,25.39,24.90,25.30,25.35,0.55,578,0,2524
03/11/2011,V (Oct 11),25.35,25.50,24.85,24.95,24.95,-0.40,351,0,2698
03/14/2011,V (Oct 11),25.35,25.45,25.05,25.20,25.25,0.30,218,0,2806
03/15/2011,V (Oct 11),26.50,26.50,25.55,25.65,25.65,0.40,331,0,2970
03/16/2011,V (Oct 11),25.75,27.05,25.55,26.65,26.70,1.05,891,0,2999
03/17/2011,V (Oct 11),25.85,25.95,25.63,25.80,25.85,-0.85,400,0,2853
03/18/2011,V (Oct 11),25.15,25.30,24.80,24.95,25.00,-0.85,638,0,2784
03/21/2011,V (Oct 11),24.40,24.45,23.85,24.05,24.10,-0.90,465,0,2987
03/22/2011,V (Oct 11),24.16,24.25,23.85,24.25,24.20,0.10,408,0,2615
03/23/2011,V (Oct 11),24.25,24.36,23.75,24.05,24.05,-0.15,652,0,2455
03/24/2011,V (Oct 11),23.72,23.95,23.45,23.95,23.95,-0.10,935,0,2212
03/25/2011,V (Oct 11),23.69,24.15,23.63,24.10,24.15,0.20,620,0,2142
03/28/2011,V (Oct 11),24.03,24.30,23.92,24.25,24.30,0.15,517,0,2124
03/29/2011,V (Oct 11),24.15,24.35,23.89,23.95,24.00,-0.30,660,0,2159
03/30/2011,V (Oct 11),23.80,23.80,23.53,23.70,23.70,-0.30,951,0,2074
03/31/2011,V (Oct 11),23.75,23.80,23.55,23.75,23.80,0.10,434,0,2068
