Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
02/09/2012,X (Nov 12),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
02/10/2012,X (Nov 12),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
02/13/2012,X (Nov 12),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
02/14/2012,X (Nov 12),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
02/15/2012,X (Nov 12),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
02/16/2012,X (Nov 12),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
02/17/2012,X (Nov 12),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
02/21/2012,X (Nov 12),0.00,0.00,0.00,0.00,30.45,30.45,0,0,0
02/22/2012,X (Nov 12),0.00,0.00,0.00,0.00,30.50,0.05,0,0,0
02/23/2012,X (Nov 12),0.00,0.00,0.00,0.00,29.40,-1.10,0,0,0
02/24/2012,X (Nov 12),0.00,0.00,0.00,0.00,29.65,0.25,0,0,0
02/27/2012,X (Nov 12),28.85,29.81,28.85,29.81,29.75,0.10,5,0,5
02/28/2012,X (Nov 12),29.70,29.70,29.45,29.52,29.70,-0.05,21,0,16
02/29/2012,X (Nov 12),29.21,29.40,28.75,29.32,29.45,-0.25,48,0,39
03/01/2012,X (Nov 12),29.57,29.57,28.64,28.64,28.60,-0.85,122,0,129
03/02/2012,X (Nov 12),28.90,29.15,28.90,29.15,29.10,0.50,447,0,533
03/05/2012,X (Nov 12),29.14,29.25,29.00,29.25,29.20,0.10,196,0,671
03/06/2012,X (Nov 12),29.45,29.91,29.45,29.60,29.75,0.55,253,0,717
03/07/2012,X (Nov 12),29.23,29.45,29.20,29.30,29.25,-0.50,194,0,795
03/08/2012,X (Nov 12),29.06,29.06,28.65,28.65,28.85,-0.40,125,0,885
03/09/2012,X (Nov 12),28.50,28.86,28.50,28.60,28.50,-0.35,320,0,1143
03/12/2012,X (Nov 12),28.70,28.70,28.02,28.12,28.10,-0.40,40,0,1153
03/13/2012,X (Nov 12),28.01,28.05,27.55,27.55,27.60,-0.50,151,0,1231
03/14/2012,X (Nov 12),27.44,27.85,27.12,27.85,27.90,0.30,228,0,1382
03/15/2012,X (Nov 12),27.94,28.00,27.40,27.55,27.70,-0.20,238,0,1448
03/16/2012,X (Nov 12),27.65,27.85,27.35,27.55,27.65,-0.05,222,0,1606
03/19/2012,X (Nov 12),27.65,27.65,27.00,27.05,27.00,-0.65,25,0,1621
03/20/2012,X (Nov 12),27.45,27.45,26.85,27.00,27.00,0.00,87,0,1683
