CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
02/23/2015,X (Nov 15),0.00,19.80,20.50,0.00,20.1500,20.15,0,0,0
02/24/2015,X (Nov 15),0.00,19.60,19.95,0.00,19.7250,-0.42,0,0,0
02/25/2015,X (Nov 15),0.00,19.55,19.30,0.00,19.5750,-0.15,0,0,0
02/26/2015,X (Nov 15),0.00,19.55,19.30,0.00,19.3750,-0.20,0,0,0
02/27/2015,X (Nov 15),19.15,19.30,19.15,19.28,19.3000,-0.08,24,0,24
03/02/2015,X (Nov 15),19.17,19.17,19.00,19.01,18.9250,-0.38,133,0,139
03/03/2015,X (Nov 15),19.00,19.20,16.75,19.10,19.0500,0.12,154,0,257
03/04/2015,X (Nov 15),19.07,19.20,18.96,18.96,18.9750,-0.08,155,0,409
03/05/2015,X (Nov 15),18.90,18.99,18.75,18.80,18.8000,-0.18,130,0,507
03/06/2015,X (Nov 15),18.75,19.20,18.75,19.04,19.0750,0.28,81,0,568
03/09/2015,X (Nov 15),18.89,19.00,18.88,18.93,19.0500,-0.02,56,0,604
03/10/2015,X (Nov 15),19.04,19.57,19.04,19.55,19.5500,0.50,306,0,875
03/11/2015,X (Nov 15),19.48,19.72,19.38,19.72,19.7250,0.18,160,0,962
03/12/2015,X (Nov 15),19.46,19.65,19.19,19.19,19.2500,-0.48,73,0,999
03/13/2015,X (Nov 15),19.18,19.70,19.18,19.43,19.7000,0.45,159,0,1016
03/16/2015,X (Nov 15),19.50,19.50,19.10,19.12,19.2500,-0.45,135,0,1118
03/17/2015,X (Nov 15),19.30,19.40,19.20,19.30,19.2750,0.02,156,0,1255
03/18/2015,X (Nov 15),19.35,19.48,18.90,18.93,19.0500,-0.22,229,0,1391
03/19/2015,X (Nov 15),19.10,19.30,19.00,19.21,19.1750,0.12,188,0,1522
03/20/2015,X (Nov 15),19.15,19.27,18.90,19.23,19.2250,0.05,454,0,1660
03/23/2015,X (Nov 15),19.08,19.25,19.05,19.19,19.1750,-0.05,77,0,1757
03/24/2015,X (Nov 15),19.05,19.22,19.00,19.15,19.2000,0.02,174,0,1791
03/25/2015,X (Nov 15),19.25,19.60,19.20,19.50,19.4750,0.28,120,0,1797
03/26/2015,X (Nov 15),19.75,19.92,19.35,19.40,19.3750,-0.10,295,0,1885
03/27/2015,X (Nov 15),19.35,19.50,19.33,19.40,19.4000,0.02,219,0,1911
03/30/2015,X (Nov 15),19.25,19.40,19.14,19.35,19.3250,-0.08,427,0,2006
03/31/2015,X (Nov 15),19.37,19.58,19.35,19.52,19.5250,0.20,120,0,1972
04/01/2015,X (Nov 15),19.50,19.76,19.45,19.56,19.6000,0.08,365,0,2101
