Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
04/14/2010,Z (Dec 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
04/15/2010,Z (Dec 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
04/16/2010,Z (Dec 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
04/19/2010,Z (Dec 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
04/20/2010,Z (Dec 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
04/21/2010,Z (Dec 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
04/22/2010,Z (Dec 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
04/23/2010,Z (Dec 10),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
04/26/2010,Z (Dec 10),0.00,0.00,0.00,0.00,24.35,24.35,0,0,0
04/27/2010,Z (Dec 10),24.45,25.25,24.45,25.25,25.25,0.90,134,0,100
04/28/2010,Z (Dec 10),25.05,25.30,25.05,25.25,25.30,0.05,81,0,157
04/29/2010,Z (Dec 10),25.20,25.20,25.05,25.15,25.15,-0.15,34,0,162
04/30/2010,Z (Dec 10),25.20,25.90,25.20,25.90,25.90,0.75,58,0,207
05/03/2010,Z (Dec 10),25.70,25.70,25.60,25.65,25.65,-0.25,21,0,204
05/04/2010,Z (Dec 10),26.10,26.85,26.10,26.80,26.85,1.20,259,0,427
05/05/2010,Z (Dec 10),27.45,27.75,26.95,27.65,27.65,0.80,207,0,572
05/06/2010,Z (Dec 10),28.00,30.90,27.70,29.55,29.65,2.00,264,0,612
05/07/2010,Z (Dec 10),29.90,31.00,29.65,30.80,30.80,1.15,367,0,622
05/10/2010,Z (Dec 10),26.50,28.55,26.50,28.45,28.50,-2.30,92,0,669
05/11/2010,Z (Dec 10),28.95,28.95,28.30,28.55,28.60,0.10,97,0,694
05/12/2010,Z (Dec 10),28.25,28.25,27.65,27.75,27.75,-0.85,62,0,688
05/13/2010,Z (Dec 10),28.05,28.05,27.35,27.75,27.70,-0.05,268,0,846
05/14/2010,Z (Dec 10),28.30,29.15,28.30,29.00,29.00,1.30,107,0,921
05/17/2010,Z (Dec 10),28.55,29.51,28.50,29.45,29.50,0.50,101,0,871
05/18/2010,Z (Dec 10),28.95,30.15,28.80,30.15,30.20,0.70,92,0,872
05/19/2010,Z (Dec 10),31.35,31.35,30.40,30.85,30.90,0.70,85,0,880
05/20/2010,Z (Dec 10),32.10,32.90,31.70,32.85,32.90,2.00,180,0,912
05/21/2010,Z (Dec 10),33.30,33.30,31.55,32.90,32.90,0.00,181,14,898
05/24/2010,Z (Dec 10),32.60,32.95,32.45,32.95,32.95,0.05,92,0,924
05/25/2010,Z (Dec 10),34.20,34.40,32.65,32.75,32.75,-0.20,1224,0,1882
05/26/2010,Z (Dec 10),31.70,32.38,31.60,32.38,32.45,-0.30,237,0,1780
05/27/2010,Z (Dec 10),31.45,31.60,31.25,31.30,31.30,-1.15,108,0,1741
05/28/2010,Z (Dec 10),31.15,31.60,31.00,31.40,31.45,0.15,74,0,1733
06/01/2010,Z (Dec 10),32.52,32.52,31.25,31.85,31.90,0.45,113,0,1750
06/02/2010,Z (Dec 10),31.65,31.85,31.20,31.20,31.25,-0.65,346,0,1797
06/03/2010,Z (Dec 10),31.07,31.14,30.70,30.80,30.75,-0.50,283,19,2015
06/04/2010,Z (Dec 10),31.80,31.80,31.20,31.65,31.70,0.95,184,0,2129
06/07/2010,Z (Dec 10),31.55,32.00,31.50,31.95,31.95,0.25,131,0,2218
06/08/2010,Z (Dec 10),31.80,31.95,31.50,31.60,31.60,-0.35,157,0,2300
06/09/2010,Z (Dec 10),31.35,31.95,31.14,31.75,31.75,0.15,216,0,2422
06/10/2010,Z (Dec 10),31.50,31.50,30.95,31.15,31.10,-0.65,161,0,2501
06/11/2010,Z (Dec 10),31.40,31.40,30.80,30.85,30.90,-0.20,107,0,2556
06/14/2010,Z (Dec 10),30.45,30.55,30.15,30.40,30.40,-0.50,349,0,2631
06/15/2010,Z (Dec 10),30.40,30.40,29.45,29.50,29.50,-0.90,334,0,2760
06/16/2010,Z (Dec 10),29.65,29.70,29.35,29.40,29.45,-0.05,178,0,2847
06/17/2010,Z (Dec 10),29.45,29.60,29.20,29.20,29.25,-0.20,331,0,3117
06/18/2010,Z (Dec 10),29.15,29.15,28.65,28.80,28.85,-0.40,169,0,3152
06/21/2010,Z (Dec 10),28.30,28.95,28.20,28.95,28.90,0.05,215,21,3242
06/22/2010,Z (Dec 10),29.15,29.55,28.70,29.50,29.55,0.65,341,0,3268
06/23/2010,Z (Dec 10),29.55,30.15,29.53,30.10,30.15,0.60,110,0,3266
06/24/2010,Z (Dec 10),30.30,30.90,30.30,30.75,30.70,0.55,162,0,3234
06/25/2010,Z (Dec 10),30.65,31.00,30.60,30.80,30.75,0.05,152,0,3305
06/28/2010,Z (Dec 10),30.60,31.30,30.60,31.30,31.35,0.60,2153,0,2809
06/29/2010,Z (Dec 10),31.75,33.50,31.55,33.50,33.50,2.15,399,0,2924
06/30/2010,Z (Dec 10),33.40,33.85,32.74,33.70,33.90,0.40,297,142,3022
07/01/2010,Z (Dec 10),33.89,34.80,33.80,34.10,34.10,0.20,294,0,3100
07/02/2010,Z (Dec 10),33.62,34.11,33.30,33.95,34.00,-0.10,335,0,3196
07/06/2010,Z (Dec 10),32.80,33.80,32.55,33.50,33.50,-0.50,202,0,3215
07/07/2010,Z (Dec 10),33.45,33.45,32.05,32.05,32.05,-1.45,439,0,3449
07/08/2010,Z (Dec 10),31.80,32.25,31.55,31.55,31.55,-0.50,201,0,3523
07/09/2010,Z (Dec 10),31.70,31.70,31.15,31.35,31.30,-0.25,212,0,3574
07/12/2010,Z (Dec 10),31.30,31.35,30.85,30.95,31.00,-0.30,333,0,3769
07/13/2010,Z (Dec 10),30.85,30.90,30.30,30.55,30.55,-0.45,210,0,3799
07/14/2010,Z (Dec 10),30.85,31.25,30.75,31.15,31.20,0.65,275,0,3919
07/15/2010,Z (Dec 10),31.00,32.25,31.00,31.60,31.70,0.50,312,0,4028
07/16/2010,Z (Dec 10),31.90,33.25,31.90,33.00,33.05,1.35,244,0,4105
07/19/2010,Z (Dec 10),32.92,33.15,32.60,32.90,32.90,-0.15,358,0,4178
07/20/2010,Z (Dec 10),33.20,33.45,31.85,31.95,32.00,-0.90,580,47,4364
07/21/2010,Z (Dec 10),31.75,32.40,31.45,32.00,32.10,0.10,420,0,4370
07/22/2010,Z (Dec 10),31.80,31.85,30.98,31.20,31.30,-0.80,584,0,4453
07/23/2010,Z (Dec 10),31.45,31.45,30.85,31.05,31.05,-0.25,249,0,4417
07/26/2010,Z (Dec 10),31.05,31.05,29.90,29.90,29.95,-1.10,676,0,4685
07/27/2010,Z (Dec 10),29.80,29.95,29.55,29.80,29.75,-0.20,362,0,4752
07/28/2010,Z (Dec 10),30.00,30.00,29.40,29.50,29.50,-0.25,326,0,4985
07/29/2010,Z (Dec 10),29.30,29.70,29.00,29.50,29.50,0.00,524,0,5244
07/30/2010,Z (Dec 10),30.15,30.15,29.30,29.30,29.35,-0.15,108,0,5237
08/02/2010,Z (Dec 10),29.05,29.05,28.25,28.40,28.40,-0.95,176,0,5250
08/03/2010,Z (Dec 10),28.60,28.80,28.55,28.65,28.65,0.25,291,0,5319
08/04/2010,Z (Dec 10),28.55,28.95,28.35,28.60,28.55,-0.10,384,0,5487
08/05/2010,Z (Dec 10),28.95,29.00,28.65,28.80,28.75,0.20,203,0,5459
08/06/2010,Z (Dec 10),29.70,29.75,28.80,28.85,28.85,0.10,369,0,5472
08/09/2010,Z (Dec 10),28.75,29.00,28.65,28.65,28.65,-0.20,520,0,5658
08/10/2010,Z (Dec 10),29.10,29.40,28.88,29.05,29.05,0.40,343,0,5707
08/11/2010,Z (Dec 10),29.45,30.40,29.45,30.40,30.45,1.40,543,0,5707
08/12/2010,Z (Dec 10),30.80,31.15,30.40,30.65,30.70,0.25,446,0,6047
08/13/2010,Z (Dec 10),30.95,31.25,30.65,31.25,31.25,0.55,264,0,6163
08/16/2010,Z (Dec 10),31.35,31.45,30.60,31.05,31.05,-0.20,674,0,6307
08/17/2010,Z (Dec 10),30.65,30.80,30.35,30.75,30.80,-0.25,404,0,6146
08/18/2010,Z (Dec 10),30.40,31.05,30.40,31.05,31.10,0.30,600,0,6039
08/19/2010,Z (Dec 10),31.10,32.00,31.01,31.60,31.70,0.60,646,0,6120
08/20/2010,Z (Dec 10),31.80,32.15,31.60,31.70,31.75,0.05,270,0,6012
08/23/2010,Z (Dec 10),31.48,31.92,31.45,31.90,31.95,0.20,418,0,5955
08/24/2010,Z (Dec 10),32.30,33.15,32.30,32.55,32.60,0.65,570,0,5977
08/25/2010,Z (Dec 10),32.95,33.25,31.90,32.00,32.05,-0.55,596,0,6019
08/26/2010,Z (Dec 10),31.90,32.85,31.80,32.35,32.40,0.35,805,0,6413
08/27/2010,Z (Dec 10),32.02,32.80,31.00,31.00,31.05,-1.35,554,0,6344
08/30/2010,Z (Dec 10),31.20,31.85,31.00,31.80,31.75,0.70,295,0,6422
08/31/2010,Z (Dec 10),31.80,32.25,31.45,31.60,31.70,-0.05,1187,0,6438
09/01/2010,Z (Dec 10),30.80,31.30,30.50,30.60,30.65,-1.05,1123,0,6995
09/02/2010,Z (Dec 10),31.05,31.05,30.20,30.20,30.25,-0.40,739,19,7169
09/03/2010,Z (Dec 10),30.00,30.15,29.35,29.40,29.40,-0.85,2075,0,8327
09/07/2010,Z (Dec 10),29.55,30.00,29.55,29.85,29.90,0.50,3125,0,8356
09/08/2010,Z (Dec 10),29.80,29.80,29.40,29.40,29.45,-0.45,1541,0,8884
09/09/2010,Z (Dec 10),28.93,29.25,28.85,29.10,29.10,-0.35,4923,0,12972
09/10/2010,Z (Dec 10),28.95,29.20,28.80,28.85,28.90,-0.20,1248,7,13524
09/13/2010,Z (Dec 10),28.65,28.65,28.20,28.20,28.25,-0.65,1635,9,13139
09/14/2010,Z (Dec 10),28.45,28.52,28.00,28.35,28.40,0.15,1050,0,14973
09/15/2010,Z (Dec 10),28.80,28.80,28.20,28.30,28.30,-0.10,905,0,13508
09/16/2010,Z (Dec 10),28.35,28.65,28.30,28.40,28.45,0.15,705,0,13344
09/17/2010,Z (Dec 10),28.35,28.80,28.30,28.70,28.70,0.25,1507,0,13111
09/20/2010,Z (Dec 10),28.45,28.65,28.23,28.40,28.40,-0.30,2082,0,13476
09/21/2010,Z (Dec 10),28.31,28.45,28.10,28.40,28.40,0.00,1264,0,13537
09/22/2010,Z (Dec 10),28.45,28.85,28.23,28.70,28.70,0.30,1086,0,13558
09/23/2010,Z (Dec 10),29.05,29.35,28.50,29.30,29.30,0.60,2270,0,14085
09/24/2010,Z (Dec 10),28.75,28.75,28.12,28.30,28.35,-0.95,2166,0,13980
09/27/2010,Z (Dec 10),28.10,28.35,28.10,28.30,28.30,-0.05,1898,0,14446
09/28/2010,Z (Dec 10),28.40,28.75,28.10,28.30,28.30,0.00,1311,0,14897
09/29/2010,Z (Dec 10),28.40,28.75,28.20,28.70,28.70,0.40,1260,0,15211
09/30/2010,Z (Dec 10),28.40,29.45,28.37,29.25,29.30,0.60,3192,0,15378
10/01/2010,Z (Dec 10),29.10,29.27,28.80,29.00,29.00,-0.30,1748,0,15390
10/04/2010,Z (Dec 10),29.20,29.65,28.95,29.40,29.40,0.40,1186,0,15249
10/05/2010,Z (Dec 10),28.80,29.10,28.20,28.45,28.50,-0.90,1594,0,15391
10/06/2010,Z (Dec 10),28.34,28.65,28.25,28.42,28.40,-0.10,1351,0,15611
10/07/2010,Z (Dec 10),28.25,28.70,28.24,28.35,28.35,-0.05,1159,0,15867
10/08/2010,Z (Dec 10),28.35,28.45,27.45,27.55,27.55,-0.80,1277,0,16116
10/11/2010,Z (Dec 10),27.30,27.35,26.95,27.02,27.05,-0.50,713,0,16388
10/12/2010,Z (Dec 10),27.35,27.53,26.00,26.30,26.30,-0.75,2692,0,16479
10/13/2010,Z (Dec 10),26.10,26.10,25.25,25.56,25.60,-0.70,2501,0,16904
10/14/2010,Z (Dec 10),25.75,26.50,25.65,26.10,26.10,0.50,2060,0,17066
10/15/2010,Z (Dec 10),26.00,26.70,25.59,25.85,25.80,-0.30,2199,0,17209
10/18/2010,Z (Dec 10),25.90,26.08,25.15,25.35,25.45,-0.35,2045,0,17341
10/19/2010,Z (Dec 10),26.21,26.21,25.48,25.80,25.85,0.40,3684,0,18334
10/20/2010,Z (Dec 10),25.75,25.80,24.70,25.00,25.05,-0.80,6209,0,20943
10/21/2010,Z (Dec 10),24.85,25.15,24.30,24.60,24.65,-0.40,7211,1,21950
10/22/2010,Z (Dec 10),24.50,24.60,23.80,23.90,23.95,-0.70,7544,0,25204
10/25/2010,Z (Dec 10),23.55,23.75,23.20,23.65,23.70,-0.25,6554,0,25608
10/26/2010,Z (Dec 10),24.15,24.15,23.55,23.85,23.90,0.20,10008,0,30103
10/27/2010,Z (Dec 10),24.20,24.85,24.00,24.15,24.20,0.30,6496,0,32423
10/28/2010,Z (Dec 10),23.85,24.40,23.65,24.25,24.30,0.10,6443,0,33564
10/29/2010,Z (Dec 10),24.25,24.55,24.10,24.20,24.25,-0.05,5756,0,34275
