CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
03/25/2013,Z (Dec 13),19.48,19.60,19.45,19.48,19.40,19.40,1,0,1
03/26/2013,Z (Dec 13),19.50,19.50,19.10,19.35,19.30,-0.10,309,0,229
03/27/2013,Z (Dec 13),19.45,19.60,19.33,19.40,19.45,0.15,176,0,339
03/28/2013,Z (Dec 13),19.45,19.50,19.39,19.50,19.45,0.00,75,0,356
04/01/2013,Z (Dec 13),19.45,19.55,19.40,19.55,19.55,0.10,86,0,401
04/02/2013,Z (Dec 13),19.40,19.45,19.23,19.35,19.35,-0.20,555,0,731
04/03/2013,Z (Dec 13),19.36,19.50,19.30,19.45,19.50,0.15,285,0,864
04/04/2013,Z (Dec 13),19.45,19.65,19.34,19.40,19.45,-0.05,308,0,984
04/05/2013,Z (Dec 13),19.70,19.90,19.45,19.50,19.50,0.05,313,0,1107
04/08/2013,Z (Dec 13),19.40,19.40,19.20,19.20,19.20,-0.30,85,0,1152
04/09/2013,Z (Dec 13),19.20,19.25,19.10,19.15,19.15,-0.05,162,0,1197
04/10/2013,Z (Dec 13),19.03,19.03,18.79,18.90,18.90,-0.25,86,0,1211
04/11/2013,Z (Dec 13),18.75,19.01,18.70,18.95,19.00,0.10,86,0,1209
04/12/2013,Z (Dec 13),18.99,19.10,18.85,18.85,18.80,-0.20,83,0,1222
04/15/2013,Z (Dec 13),18.88,19.93,18.74,19.62,19.60,0.80,157,0,1246
04/16/2013,Z (Dec 13),19.25,19.25,18.79,18.94,18.95,-0.65,295,0,1392
04/17/2013,Z (Dec 13),19.20,19.40,18.95,19.05,19.05,0.10,740,0,1792
04/18/2013,Z (Dec 13),18.90,19.53,18.90,19.40,19.40,0.35,1028,0,2196
04/19/2013,Z (Dec 13),19.20,19.55,19.05,19.55,19.50,0.10,1324,0,2413
04/22/2013,Z (Dec 13),19.40,19.49,19.05,19.10,19.15,-0.35,835,0,2605
04/23/2013,Z (Dec 13),18.95,19.70,18.65,18.65,18.65,-0.50,764,0,2713
04/24/2013,Z (Dec 13),18.70,18.70,18.45,18.54,18.60,-0.05,472,0,2977
04/25/2013,Z (Dec 13),18.45,18.62,18.33,18.60,18.60,0.00,347,0,3092
04/26/2013,Z (Dec 13),18.65,18.76,18.46,18.60,18.60,0.00,875,0,3360
04/29/2013,Z (Dec 13),18.35,18.46,18.13,18.45,18.45,-0.15,1078,0,3711
04/30/2013,Z (Dec 13),18.45,18.54,18.20,18.30,18.30,-0.15,884,0,4113
05/01/2013,Z (Dec 13),18.25,18.65,18.25,18.60,18.60,0.30,1127,0,4603
05/02/2013,Z (Dec 13),18.45,18.61,18.27,18.45,18.45,-0.15,759,0,4955
05/03/2013,Z (Dec 13),18.45,18.45,18.20,18.20,18.25,-0.20,710,0,5142
05/06/2013,Z (Dec 13),18.25,18.32,17.96,18.00,18.00,-0.25,239,0,5203
05/07/2013,Z (Dec 13),17.95,17.95,17.77,17.82,17.80,-0.20,652,0,5487
05/08/2013,Z (Dec 13),17.80,18.00,17.77,17.90,17.95,0.15,377,0,5649
05/09/2013,Z (Dec 13),18.05,18.25,17.90,18.05,18.10,0.15,384,0,5762
05/10/2013,Z (Dec 13),18.07,18.40,18.03,18.30,18.25,0.15,792,0,6004
05/13/2013,Z (Dec 13),18.35,18.45,18.24,18.33,18.35,0.10,515,0,6221
05/14/2013,Z (Dec 13),18.30,18.35,18.20,18.25,18.25,-0.10,348,0,6379
05/15/2013,Z (Dec 13),18.35,18.46,18.29,18.40,18.40,0.15,519,0,6544
05/16/2013,Z (Dec 13),18.35,18.61,18.33,18.61,18.60,0.20,562,0,6642
05/17/2013,Z (Dec 13),18.55,18.64,18.40,18.45,18.45,-0.15,1024,0,7059
05/20/2013,Z (Dec 13),18.50,18.65,18.39,18.65,18.65,0.20,587,0,7161
05/21/2013,Z (Dec 13),18.65,19.02,18.57,19.00,19.00,0.35,1146,0,7326
05/22/2013,Z (Dec 13),18.95,19.06,18.69,18.83,18.85,-0.15,2229,0,7784
05/23/2013,Z (Dec 13),19.20,19.45,18.80,19.04,19.05,0.20,2096,3,8027
05/24/2013,Z (Dec 13),19.07,19.15,18.94,18.98,19.00,-0.05,1623,3,8485
05/28/2013,Z (Dec 13),18.85,19.10,18.80,18.87,18.90,-0.10,1370,2,8892
05/29/2013,Z (Dec 13),19.10,19.10,18.65,18.87,18.90,0.00,2700,9,9042
05/30/2013,Z (Dec 13),18.85,19.06,18.75,18.93,18.95,0.05,2061,29,9454
05/31/2013,Z (Dec 13),19.10,19.29,18.80,19.28,19.30,0.35,2206,0,9410
06/03/2013,Z (Dec 13),19.10,19.57,19.10,19.38,19.40,0.10,3314,0,10486
06/04/2013,Z (Dec 13),19.40,19.55,19.25,19.43,19.45,0.05,2494,0,11103
06/05/2013,Z (Dec 13),19.56,19.80,19.40,19.63,19.65,0.20,3704,196,12006
06/06/2013,Z (Dec 13),19.55,20.04,19.40,19.51,19.55,-0.10,4198,33,12929
06/07/2013,Z (Dec 13),19.50,19.62,19.15,19.42,19.45,-0.10,2260,0,13145
06/10/2013,Z (Dec 13),19.30,19.35,19.10,19.18,19.20,-0.25,1729,0,13524
06/11/2013,Z (Dec 13),19.45,19.80,19.25,19.68,19.70,0.50,2766,34,14218
06/12/2013,Z (Dec 13),19.51,20.25,19.39,20.24,20.25,0.55,5925,238,16264
06/13/2013,Z (Dec 13),20.27,20.28,19.70,19.83,19.85,-0.40,3200,19,17182
06/14/2013,Z (Dec 13),19.85,20.35,19.65,20.33,20.35,0.50,3910,21,17806
06/17/2013,Z (Dec 13),20.10,20.27,19.90,20.19,20.20,-0.15,4104,11,19058
